AGRI-TECH (INDIA) LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , 5.94 , 5.94 , 5.94 , 5.94 , 5.94 , 5.94 , 5.94 
Reserves, -   , -   , -   , 15.19 , 10.34 , 10.57 , 10.20 , 28.94 , 81.99 , 102.56 
Borrowings, -   , -   , -   , 8.86 , 11.51 , 3.56 , 3.28 , 0.02 , 0.26 , 0.25 
Other Liabilities, -   , -   , -   , 2.25 , 0.32 , 13.34 , 14.93 , 10.58 , 0.23 , 0.98 
Total, -   , -   , -   , 32.24 , 28.11 , 33.41 , 34.35 , 45.48 , 88.42 , 109.73 
,,,,,,,,,,
Net Block, -   , -   , -   , 6.23 , 5.66 , 5.36 , 5.41 , 4.57 , 44.64 , 44.47 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , 0.05 , 0.05 
Investments, -   , -   , -   , 0.49 , 3.77 , 3.28 , 8.28 , 22.89 , 23.09 , 30.63 
Other Assets, -   , -   , -   , 25.52 , 18.68 , 24.77 , 20.66 , 18.02 , 20.64 , 34.58 
Total, -   , -   , -   , 32.24 , 28.11 , 33.41 , 34.35 , 45.48 , 88.42 , 109.73 
,,,,,,,,,,
Working Capital, -   , -   , -   , 23.27 , 18.36 , 11.43 , 5.73 , 7.44 , 20.41 , 33.60 
Debtors, -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.15 
Inventory, -   , -   , -   , 1.00 , 0.55 , 0.58 , 0.57 , 0.58 , 0.03 , 0.02 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , -   , -   , 342.19 
Inventory Turnover, -   , -   , -   , 0.25 , 0.18 , 0.12 , 0.14 , 0.16 , 1.33 , 8.00 
,,,,,,,,,,
Return on Equity,,,,83%,-2%,1%,-2%,54%,-15%,19%
Return on Capital Emp,,,,117%,-1%,1%,-2%,69%,-21%,21%
,,,,,,,,,,
