GLAXOSMITHKLINE CONSUMER HEALTHCARE LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-08,Dec-09,Dec-10,Dec-11,Dec-12,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 42.06 , 42.06 , 42.06 , 42.06 , 42.06 , 42.06 , 42.06 , 42.06 , 42.06 , 42.06 
Reserves, 718.82 , 863.04 , 917.98 ," 1,102.12 "," 1,318.92 "," 1,770.79 "," 2,070.98 "," 2,756.65 "," 3,080.61 "," 3,443.06 "
Borrowings, -   , -   , -   , -   , -   , -   , -   , 12.75 , 8.36 , -   
Other Liabilities, 330.24 , 523.91 , 811.93 , 946.19 ," 1,200.41 "," 1,615.16 "," 1,924.61 "," 1,698.55 "," 1,849.67 "," 1,954.17 "
Total," 1,091.12 "," 1,429.01 "," 1,771.97 "," 2,090.37 "," 2,561.39 "," 3,428.01 "," 4,037.65 "," 4,510.01 "," 4,980.70 "," 5,439.29 "
,,,,,,,,,,
Net Block, 210.23 , 194.48 , 202.25 , 200.69 , 193.83 , 339.91 , 491.74 , 481.28 , 487.43 , 475.53 
Capital Work in Progress, 15.88 , 37.78 , 108.33 , 149.16 , 197.24 , 38.45 , 42.31 , 51.39 , 57.67 , 38.25 
Investments, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Other Assets, 865.01 ," 1,196.75 "," 1,461.39 "," 1,740.52 "," 2,170.32 "," 3,049.65 "," 3,503.60 "," 3,977.34 "," 4,435.60 "," 4,925.51 "
Total," 1,091.12 "," 1,429.01 "," 1,771.97 "," 2,090.37 "," 2,561.39 "," 3,428.01 "," 4,037.65 "," 4,510.01 "," 4,980.70 "," 5,439.29 "
,,,,,,,,,,
Working Capital, 534.77 , 672.84 , 649.46 , 794.33 , 969.91 ," 1,434.49 "," 1,578.99 "," 2,278.79 "," 2,585.93 "," 2,971.34 "
Debtors, 43.25 , 31.36 , 50.37 , 99.19 , 112.61 , 299.35 , 313.36 , 354.16 , 321.00 , 278.72 
Inventory, 277.17 , 266.03 , 312.00 , 369.96 , 369.64 , 407.42 , 466.25 , 461.62 , 461.14 , 409.42 
,,,,,,,,,,
Debtor Days, 10.24 , 5.96 , 7.97 , 13.09 , 12.89 , 22.44 , 26.55 , 31.25 , 29.36 , 23.57 
Inventory Turnover, 5.56 , 7.22 , 7.39 , 7.47 , 8.62 , 11.95 , 9.24 , 8.96 , 8.66 , 10.54 
,,,,,,,,,,
Return on Equity,25%,26%,31%,31%,32%,37%,28%,25%,21%,20%
Return on Capital Emp,,43%,49%,52%,52%,64%,45%,43%,34%,33%
,,,,,,,,,,
