MAGADH SUGAR & ENERGY LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , -   , -   , 680.81 , 717.28 , 739.16 , 755.70 , 756.88 
Expenses, -   , -   , -   , -   , -   , -   , -   , 0.01 , 520.43 , 654.08 , 637.90 , 634.85 , 653.19 
Operating Profit, -   , -   , -   , -   , -   , -   , -   , (0.01), 160.38 , 63.20 , 101.26 , 120.85 , 103.69 
Other Income, -   , -   , -   , -   , -   , -   , -   , -   , 1.81 , 8.99 , 6.00 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , -   , -   , 19.86 , 18.68 , 17.98 , 17.98 , 17.98 
Interest, -   , -   , -   , -   , -   , -   , -   , -   , 40.69 , 43.34 , 35.41 , 35.41 , 35.41 
Profit before tax, -   , -   , -   , -   , -   , -   , -   , (0.01), 101.64 , 10.16 , 53.87 , 67.46 , 50.30 
Tax, -   , -   , -   , -   , -   , -   , -   , -   , 43.79 , (14.75), 19.64 ,36%,36%
Net profit, -   , -   , -   , -   , -   , -   , -   , (0.01), 57.84 , 24.91 , 34.22 , 42.87 , 31.96 
EPS, -   , -   , -   , -   , -   , -   , -   , (2.00), 57.46 , 24.75 , 34.00 , 42.59 , 31.75 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  , 4.32 , 4.69 , 4.69 , 4.51 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , 106.93 , 159.50 , 199.80 , 143.07 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.48%,4.05%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,23.56%,8.81%,13.70%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,,5.36%,5.36%,5.36%
,,,,,,OPM,15.99%,15.99%,15.99%,15.99%,13.70%,15.99%,13.70%
,,,,,,Price to Earning, 4.51 , 4.51 , 4.51 , 4.51 , 4.69 , 4.69 , 4.51 
