CAPLIN POINT LABORATORIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jun-09,Jun-10,Jun-11,Jun-12,Jun-13,Jun-14,Jun-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 15.11 , 15.11 , 15.11 , 15.11 , 15.11 , 15.11 , 15.11 , 15.11 , 15.12 , 15.12 
Reserves, 8.75 , 10.33 , 14.23 , 18.90 , 28.79 , 47.17 , 78.52 , 113.03 , 185.00 , 280.48 
Borrowings, 8.57 , 10.37 , 9.74 , 6.88 , 4.64 , 3.25 , 2.08 , 2.00 , 0.73 , 0.53 
Other Liabilities, 29.05 , 24.83 , 32.32 , 63.27 , 79.51 , 108.72 , 127.85 , 132.46 , 116.21 , 114.68 
Total, 61.48 , 60.64 , 71.40 , 104.16 , 128.05 , 174.25 , 223.56 , 262.60 , 317.06 , 410.81 
,,,,,,,,,,
Net Block, 18.89 , 20.63 , 23.27 , 25.89 , 31.01 , 100.51 , 111.47 , 142.75 , 151.75 , 169.32 
Capital Work in Progress, -   , -   , 0.17 , 12.79 , 51.40 , 24.96 , 30.63 , 0.23 , 3.42 , 15.29 
Investments, 0.21 , 1.06 , 1.20 , 1.24 , 1.29 , 0.54 , 1.44 , 1.43 , 18.78 , 48.21 
Other Assets, 42.38 , 38.95 , 46.76 , 64.24 , 44.35 , 48.24 , 80.02 , 118.19 , 143.11 , 177.99 
Total, 61.48 , 60.64 , 71.40 , 104.16 , 128.05 , 174.25 , 223.56 , 262.60 , 317.06 , 410.81 
,,,,,,,,,,
Working Capital, 13.33 , 14.12 , 14.44 , 0.97 , (35.16), (60.48), (47.83), (14.27), 26.90 , 63.31 
Debtors, 8.86 , 9.03 , 7.64 , 7.28 , 0.60 , 0.01 , 0.02 , 6.80 , 3.21 , 86.35 
Inventory, 7.61 , 4.16 , 5.16 , 5.62 , 8.92 , 7.81 , 12.66 , 17.90 , 22.29 , 28.46 
,,,,,,,,,,
Debtor Days, 54.70 , 56.78 , 33.59 , 24.69 , 1.79 , 0.02 , 0.03 , 10.73 , 3.43 , 73.89 
Inventory Turnover, 7.77 , 13.95 , 16.09 , 19.15 , 13.75 , 21.31 , 18.98 , 12.92 , 15.32 , 14.99 
,,,,,,,,,,
Return on Equity,9%,13%,22%,24%,33%,41%,44%,35%,35%,35%
Return on Capital Emp,,14%,26%,30%,50%,60%,64%,52%,56%,59%
,,,,,,,,,,
