JBM AUTO LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 10.20 , 10.20 , 10.20 , 10.20 , 10.20 , 10.20 , 20.40 , 20.40 , 20.40 , 20.40 
Reserves, 47.65 , 78.98 , 89.10 , 94.02 , 104.92 , 151.13 , 161.51 , 177.47 , 168.86 , 191.15 
Borrowings, 137.97 , 150.17 , 193.24 , 203.82 , 193.57 , 183.86 , 254.46 , 242.84 , 297.34 , 354.26 
Other Liabilities, 85.13 , 103.10 , 128.08 , 123.43 , 135.57 , 238.48 , 187.32 , 282.04 , 252.58 , 251.64 
Total, 280.95 , 342.45 , 420.62 , 431.47 , 444.26 , 583.67 , 623.69 , 722.75 , 739.18 , 817.45 
,,,,,,,,,,
Net Block, 88.33 , 82.24 , 123.62 , 133.23 , 136.04 , 197.15 , 286.76 , 285.69 , 278.69 , 265.00 
Capital Work in Progress, 27.62 , 18.24 , 8.47 , 10.36 , 32.01 , 54.29 , 6.34 , 24.18 , 34.50 , 62.61 
Investments, 18.05 , 66.23 , 69.08 , 71.33 , 71.33 , 71.33 , 71.33 , 71.33 , 71.34 , 76.14 
Other Assets, 146.95 , 175.74 , 219.45 , 216.55 , 204.88 , 260.90 , 259.26 , 341.55 , 354.65 , 413.70 
Total, 280.95 , 342.45 , 420.62 , 431.47 , 444.26 , 583.67 , 623.69 , 722.75 , 739.18 , 817.45 
,,,,,,,,,,
Working Capital, 61.82 , 72.64 , 91.37 , 93.12 , 69.31 , 22.42 , 71.94 , 59.51 , 102.07 , 162.06 
Debtors, 74.11 , 68.17 , 105.35 , 107.66 , 110.72 , 143.90 , 123.84 , 121.53 , 157.63 , 189.88 
Inventory, 45.30 , 61.95 , 63.40 , 63.29 , 56.34 , 73.95 , 89.02 , 157.59 , 121.52 , 143.11 
,,,,,,,,,,
Debtor Days, 125.02 , 104.63 , 105.39 , 99.26 , 89.38 , 92.83 , 75.32 , 78.24 , 82.42 , 90.50 
Inventory Turnover, 4.78 , 3.84 , 5.75 , 6.25 , 8.03 , 7.65 , 6.74 , 3.60 , 5.74 , 5.35 
,,,,,,,,,,
Return on Equity,22%,9%,13%,7%,12%,15%,18%,12%,21%,15%
Return on Capital Emp,,10%,12%,12%,15%,17%,15%,12%,17%,14%
,,,,,,,,,,
