GREAVES COTTON LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jun-09,Jun-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 48.84 , 48.84 , 48.84 , 48.84 , 48.84 , 48.84 , 48.84 , 48.84 , 48.84 , 48.84 
Reserves, 359.79 , 392.42 , 477.21 , 600.53 , 693.20 , 769.13 , 770.96 , 837.99 , 872.13 , 911.56 
Borrowings, 44.38 , 5.16 , 5.50 , 20.37 , 2.37 , 0.04 , -   , -   , -   , -   
Other Liabilities, 268.70 , 433.39 , 454.04 , 427.03 , 441.95 , 390.61 , 320.16 , 303.98 , 343.00 , 397.65 
Total, 721.71 , 879.81 , 985.59 ," 1,096.77 "," 1,186.36 "," 1,208.62 "," 1,139.96 "," 1,190.81 "," 1,263.97 "," 1,358.05 "
,,,,,,,,,,
Net Block, 248.81 , 237.80 , 264.13 , 325.95 , 368.04 , 368.10 , 325.18 , 282.64 , 291.97 , 277.11 
Capital Work in Progress, 17.22 , 28.18 , 9.29 , 20.34 , 8.02 , 5.33 , 8.39 , 24.46 , 14.69 , 27.62 
Investments, 65.85 , 130.13 , 83.84 , 111.42 , 93.89 , 178.06 , 284.37 , 359.39 , 407.31 , 502.64 
Other Assets, 389.83 , 483.70 , 628.33 , 639.06 , 716.41 , 657.13 , 522.02 , 524.32 , 550.00 , 550.68 
Total, 721.71 , 879.81 , 985.59 ," 1,096.77 "," 1,186.36 "," 1,208.62 "," 1,139.96 "," 1,190.81 "," 1,263.97 "," 1,358.05 "
,,,,,,,,,,
Working Capital, 121.13 , 50.31 , 174.29 , 212.03 , 274.46 , 266.52 , 201.86 , 220.34 , 207.00 , 153.03 
Debtors, 150.93 , 202.48 , 258.09 , 255.92 , 374.65 , 333.03 , 237.48 , 200.74 , 270.20 , 252.69 
Inventory, 140.74 , 153.29 , 186.84 , 169.97 , 160.99 , 158.10 , 104.81 , 108.04 , 129.41 , 109.42 
,,,,,,,,,,
Debtor Days, 52.93 , 54.86 , 75.23 , 53.27 , 73.00 , 70.72 , 51.33 , 45.41 , 60.35 , 51.47 
Inventory Turnover, 7.40 , 8.79 , 6.70 , 10.32 , 11.64 , 10.87 , 16.11 , 14.93 , 12.63 , 16.38 
,,,,,,,,,,
Return on Equity,14%,27%,24%,29%,19%,14%,10%,22%,20%,21%
Return on Capital Emp,,41%,38%,42%,28%,22%,14%,34%,28%,32%
,,,,,,,,,,
