GOKUL AGRO RESOURCES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , -   , 0.05 , 26.38 , 26.38 , 26.38 
Reserves, -   , -   , -   , -   , -   , -   , 157.29 , 145.11 , 165.28 , 178.17 
Borrowings, -   , -   , -   , -   , -   , -   , 249.67 , 225.45 , 292.05 , 345.17 
Other Liabilities, -   , -   , -   , -   , -   , -   , 578.12 , 868.04 , 796.42 , 715.39 
Total, -   , -   , -   , -   , -   , -   , 985.13 ," 1,264.98 "," 1,280.13 "," 1,265.11 "
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   , -   , 142.58 , 135.16 , 177.94 , 222.10 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , 4.89 , 33.07 , 14.93 , 10.31 
Investments, -   , -   , -   , -   , -   , -   , 41.36 , 34.56 , 9.49 , 20.20 
Other Assets, -   , -   , -   , -   , -   , -   , 796.30 ," 1,062.19 "," 1,077.77 "," 1,012.50 "
Total, -   , -   , -   , -   , -   , -   , 985.13 ," 1,264.98 "," 1,280.13 "," 1,265.11 "
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   , -   , 218.18 , 194.15 , 281.35 , 297.11 
Debtors, -   , -   , -   , -   , -   , -   , 234.98 , 235.50 , 361.33 , 344.86 
Inventory, -   , -   , -   , -   , -   , -   , 315.49 , 369.58 , 352.32 , 413.86 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , 124.86 , 23.70 , 31.07 , 29.43 
Inventory Turnover, -   , -   , -   , -   , -   , -   , 2.18 , 9.81 , 12.05 , 10.33 
,,,,,,,,,,
Return on Equity,,,,,,,2%,8%,10%,6%
Return on Capital Emp,,,,,,,9%,15%,19%,16%
,,,,,,,,,,
