HPL ELECTRIC & POWER LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , 565.94 , 715.74 , 903.25 ," 1,007.19 "," 1,045.11 "," 1,115.27 ", 926.66 ," 1,000.11 "," 1,102.59 "," 1,102.59 ", 984.05 
Expenses, -   , -   , 494.04 , 632.17 , 792.71 , 901.74 , 919.92 , 973.68 , 819.00 , 906.43 , 985.26 , 978.29 , 879.34 
Operating Profit, -   , -   , 71.90 , 83.57 , 110.54 , 105.45 , 125.19 , 141.59 , 107.66 , 93.68 , 117.33 , 124.30 , 104.72 
Other Income, -   , -   , 1.53 , 2.76 , 4.23 , 4.94 , 4.71 , 4.85 , 4.26 , 3.67 , 3.98 , -   , -   
Depreciation, -   , -   , 5.11 , 6.69 , 11.35 , 13.29 , 16.20 , 19.36 , 23.21 , 21.37 , 29.87 , 29.87 , 29.87 
Interest, -   , -   , 21.00 , 41.29 , 61.71 , 59.04 , 69.93 , 78.24 , 62.09 , 46.16 , 52.75 , 52.75 , 52.75 
Profit before tax, -   , -   , 47.32 , 38.35 , 41.70 , 38.08 , 43.77 , 48.83 , 26.62 , 29.84 , 38.69 , 41.68 , 22.10 
Tax, -   , -   , 10.06 , 9.59 , 10.28 , 9.30 , 9.33 , 11.78 , 6.51 , 7.02 , 12.32 ,32%,32%
Net profit, -   , -   , 37.25 , 28.76 , 31.41 , 28.78 , 34.44 , 37.04 , 20.11 , 22.82 , 26.38 , 28.40 , 15.06 
EPS, -   , -   , 20.72 , 16.00 , 16.91 , 15.50 , 18.54 , 7.98 , 3.13 , 3.55 , 4.10 , 4.42 , 2.34 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  , 42.10 , 34.18 , 16.10 , 30.79 , 16.10 
Price, -   , -   , -   , -   , -   , -   , -   , -   , 131.68 , 121.29 , 66.05 , 136.03 , 37.71 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,7.25%,1.25%,0.60%,0.66%,0.55%,1.24%,47.94%,28.18%,,,
OPM,0.00%,0.00%,12.70%,11.68%,12.24%,10.47%,11.98%,12.70%,11.62%,9.37%,10.64%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,8.47%,2.06%,-1.46%,10.25%,10.25%,-1.46%
,,,,,,OPM,11.53%,11.44%,11.26%,11.27%,10.64%,11.27%,10.64%
,,,,,,Price to Earning, 30.79 , 30.79 , 30.79 , 30.79 , 16.10 , 30.79 , 16.10 
