CAREER POINT LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 45.15 , 61.66 , 78.62 , 79.59 , 70.56 , 54.14 , 62.75 , 69.03 , 72.55 , 70.97 , 68.72 , 73.94 , 69.47 
Expenses, 23.63 , 37.70 , 48.92 , 51.18 , 50.33 , 52.23 , 51.75 , 51.71 , 52.48 , 55.23 , 60.73 , 55.46 , 61.40 
Operating Profit, 21.52 , 23.96 , 29.70 , 28.41 , 20.23 , 1.91 , 11.00 , 17.32 , 20.07 , 15.74 , 7.99 , 18.48 , 8.08 
Other Income, 3.88 , 6.14 , 10.70 , 17.71 , 6.83 , 8.35 , 8.27 , 9.40 , 10.84 , 10.09 , 14.12 , -   , -   
Depreciation, 0.42 , 0.66 , 1.30 , 1.66 , 1.78 , 3.69 , 4.69 , 4.65 , 4.89 , 4.29 , 4.11 , 4.11 , 4.11 
Interest, 0.18 , 0.12 , 0.06 , 0.08 , 1.03 , 2.15 , 1.13 , 1.24 , 1.78 , 3.09 , 5.48 , 5.48 , 5.48 
Profit before tax, 24.80 , 29.32 , 39.04 , 44.38 , 24.25 , 4.42 , 13.55 , 21.22 , 24.49 , 18.56 , 12.52 , 8.89 , (1.51)
Tax, 8.56 , 9.45 , 11.67 , 12.58 , 8.85 , 0.20 , 3.85 , 6.75 , 6.46 , 5.58 , 2.37 ,19%,19%
Net profit, 16.24 , 19.87 , 27.37 , 31.80 , 15.40 , 4.21 , 9.70 , 14.47 , 18.03 , 12.99 , 10.15 , 7.21 , (1.23)
EPS, 13.46 , 13.78 , 15.09 , 17.54 , 8.49 , 2.32 , 5.35 , 7.98 , 9.94 , 7.15 , 5.59 , 3.97 , (0.68)
Price to earning,  ,  , 22.69 , 11.31 , 13.59 , 40.26 , 29.51 , 14.47 , 10.95 , 16.87 , 13.06 , 13.84 , 13.06 
Price, -   , -   , 342.51 , 198.42 , 115.40 , 93.47 , 157.85 , 115.51 , 108.89 , 120.67 , 73.00 , 54.94 , (8.82)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,18.66%,0.00%,0.00%,0.00%,,,
OPM,47.66%,38.86%,37.78%,35.70%,28.67%,3.53%,17.53%,25.09%,27.66%,22.18%,11.63%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,5.15%,-1.45%,0.12%,4.19%,-2.18%,4.19%,-2.18%
,,,,,,OPM,28.55%,23.91%,20.05%,25.00%,11.63%,25.00%,11.63%
,,,,,,Price to Earning, 19.19 , 18.75 , 20.85 , 13.84 , 13.06 , 13.84 , 13.06 
