KM SUGAR MILLS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Sep-08,Sep-09,Sep-10,Sep-11,Sep-12,Sep-13,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 18.40 , 18.40 , 18.40 , 18.40 , 18.40 , 18.40 , 18.40 , 18.40 , 18.40 , 18.40 
Reserves, 10.74 , 14.83 , (3.66), (14.64), (20.90), (8.33), (0.80), 10.46 , 47.10 , 65.99 
Borrowings, 118.53 , 91.76 , 98.93 , 100.49 , 82.07 , 112.72 , 145.75 , 94.72 , 141.23 , 98.74 
Other Liabilities, 65.23 , 33.34 , 30.47 , 35.58 , 29.77 , 36.78 , 167.18 , 151.40 , 180.26 , 142.77 
Total, 212.90 , 158.33 , 144.14 , 139.83 , 109.34 , 159.57 , 330.53 , 274.98 , 386.99 , 325.90 
,,,,,,,,,,
Net Block, 102.95 , 88.96 , 76.59 , 66.55 , 58.38 , 50.81 , 64.90 , 61.44 , 95.24 , 94.04 
Capital Work in Progress, 1.22 , 0.39 , 1.38 , 0.18 , -   , 4.44 , 0.49 , 0.17 , -   , 0.10 
Investments, 0.10 , 0.10 , 0.10 , 0.10 , 0.10 , 0.10 , 0.11 , 2.96 , 7.75 , 7.26 
Other Assets, 108.63 , 68.88 , 66.07 , 73.00 , 50.86 , 104.22 , 265.03 , 210.41 , 284.00 , 224.50 
Total, 212.90 , 158.33 , 144.14 , 139.83 , 109.34 , 159.57 , 330.53 , 274.98 , 386.99 , 325.90 
,,,,,,,,,,
Working Capital, 43.40 , 35.54 , 35.60 , 37.42 , 21.09 , 67.44 , 97.85 , 59.01 , 103.74 , 81.73 
Debtors, 7.15 , 13.35 , 1.24 , 1.89 , 6.24 , 8.59 , 31.69 , 26.67 , 16.54 , 22.32 
Inventory, 61.77 , 24.55 , 34.98 , 39.39 , 22.53 , 76.64 , 191.86 , 155.16 , 226.24 , 163.17 
,,,,,,,,,,
Debtor Days, 8.34 , 32.25 , 2.54 , 2.40 , 8.95 , 11.50 , 21.01 , 28.17 , 17.96 , 17.60 
Inventory Turnover, 5.07 , 6.16 , 5.10 , 7.29 , 11.30 , 3.56 , 2.87 , 2.23 , 1.49 , 2.84 
,,,,,,,,,,
Return on Equity,-42%,13%,-124%,-299%,,125%,43%,41%,57%,22%
Return on Capital Emp,,12%,-10%,4%,10%,25%,16%,19%,28%,21%
,,,,,,,,,,
