ABB INDIA LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Dec-14,Dec-15,Dec-16,Dec-17,Dec-18,Trailing,Best Case,Worst Case
Sales," 6,234.14 "," 6,284.53 "," 7,446.56 "," 7,562.46 "," 7,719.00 "," 7,729.99 "," 8,136.12 "," 8,642.21 "," 6,093.73 "," 6,690.12 "," 8,020.93 "," 8,020.93 "," 6,183.64 "
Expenses," 5,680.67 "," 6,178.99 "," 7,090.81 "," 7,212.26 "," 7,230.11 "," 7,153.72 "," 7,401.83 "," 7,931.97 "," 5,668.97 "," 6,226.01 "," 7,398.67 "," 7,398.67 "," 5,777.56 "
Operating Profit, 553.47 , 105.54 , 355.75 , 350.20 , 488.89 , 576.27 , 734.29 , 710.24 , 424.76 , 464.11 , 622.26 , 622.26 , 406.07 
Other Income, 65.23 , 81.33 , 37.93 , 7.05 , 2.94 , 13.79 , 6.32 , 121.57 , 266.85 , 340.71 , 254.31 , -   , -   
Depreciation, 48.51 , 51.66 , 79.55 , 94.09 , 103.31 , 112.81 , 159.79 , 150.95 , 101.23 , 92.76 , 106.38 , 106.38 , 106.38 
Interest, 44.34 , 34.98 , 46.39 , 56.95 , 116.05 , 122.04 , 106.23 , 107.59 , 62.08 , 60.22 , 44.84 , 44.84 , 44.84 
Profit before tax, 527.40 , 100.23 , 267.74 , 206.21 , 272.47 , 355.21 , 474.59 , 573.27 , 528.30 , 651.84 , 725.35 , 471.04 , 254.85 
Tax, 172.76 , 37.00 , 83.20 , 68.80 , 95.58 , 126.70 , 174.71 , 198.80 , 108.35 , 140.95 , 200.76 ,28%,28%
Net profit, 354.64 , 63.23 , 184.54 , 137.41 , 176.89 , 228.51 , 299.88 , 374.47 , 419.95 , 510.89 , 524.59 , 340.67 , 184.31 
EPS, 16.74 , 2.98 , 8.71 , 6.48 , 8.35 , 10.78 , 14.15 , 17.67 , 19.82 , 24.11 , 24.76 , 16.08 , 8.70 
Price to earning, 48.34 , 253.84 , 78.46 , 106.93 , 76.92 , 118.98 , 72.56 , 62.30 , 76.19 , 53.62 , 65.17 , 65.17 , 64.32 
Price, 808.93 , 757.40 , 683.25 , 693.37 , 642.12 ," 1,283.02 "," 1,026.78 "," 1,100.93 "," 1,509.95 "," 1,292.78 "," 1,613.30 "," 1,047.67 ", 559.45 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,11.95%,67.03%,34.45%,46.26%,35.94%,34.31%,26.14%,22.63%,22.20%,19.91%,,,
OPM,8.88%,1.68%,4.78%,4.63%,6.33%,7.45%,9.03%,8.22%,6.97%,6.94%,7.76%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,0.79%,-1.52%,-2.82%,-6.31%,19.89%,19.89%,-6.31%
,,,,,,OPM,6.57%,7.13%,7.80%,7.46%,7.76%,7.76%,6.57%
,,,,,,Price to Earning, 92.12 , 79.08 , 74.80 , 64.32 , 65.17 , 65.17 , 64.32 
