INTERNATIONAL PAPER APPM LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Dec-11,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 25.73 , 32.75 , 39.77 , 39.77 , 39.77 , 39.77 , 39.77 , 39.77 , 39.77 , 39.77 
Reserves, 392.24 , 470.19 , 538.56 , 440.75 , 417.04 , 375.43 , 374.28 , 411.17 , 438.18 , 524.24 
Borrowings, 561.03 , 493.37 , 435.73 , 478.02 , 448.75 , 564.13 , 502.33 , 476.52 , 359.45 , 207.52 
Other Liabilities, 195.16 , 181.06 , 194.07 , 313.90 , 323.81 , 380.76 , 378.90 , 380.49 , 368.06 , 369.74 
Total," 1,174.16 "," 1,177.37 "," 1,208.13 "," 1,272.44 "," 1,229.37 "," 1,360.09 "," 1,295.28 "," 1,307.95 "," 1,205.46 "," 1,141.27 "
,,,,,,,,,,
Net Block, 750.87 , 677.99 , 858.28 , 806.61 , 820.87 , 876.62 , 833.11 , 820.47 , 798.28 , 741.66 
Capital Work in Progress, 152.46 , 225.96 , 30.09 , 61.21 , 22.37 , 9.79 , 15.84 , 17.14 , 2.51 , 4.19 
Investments, 16.64 , 16.64 , 16.64 , 16.05 , 16.03 , 15.43 , 15.43 , 15.43 , 10.11 , 14.65 
Other Assets, 254.19 , 256.78 , 303.12 , 388.57 , 370.10 , 458.25 , 430.90 , 454.91 , 394.56 , 380.77 
Total," 1,174.16 "," 1,177.37 "," 1,208.13 "," 1,272.44 "," 1,229.37 "," 1,360.09 "," 1,295.28 "," 1,307.95 "," 1,205.46 "," 1,141.27 "
,,,,,,,,,,
Working Capital, 59.03 , 75.72 , 109.05 , 74.67 , 46.29 , 77.49 , 52.00 , 74.42 , 26.50 , 11.03 
Debtors, 38.75 , 46.43 , 56.29 , 35.26 , 45.58 , 58.35 , 63.86 , 70.69 , 67.50 , 69.57 
Inventory, 135.25 , 115.87 , 121.07 , 211.92 , 144.79 , 207.64 , 201.21 , 213.71 , 183.84 , 154.78 
,,,,,,,,,,
Debtor Days, 22.52 , 26.10 , 26.28 , 21.62 , 13.52 , 19.51 , 20.04 , 22.96 , 21.02 , 20.09 
Inventory Turnover, 4.64 , 5.60 , 6.46 , 2.81 , 8.50 , 5.26 , 5.78 , 5.26 , 6.38 , 8.17 
,,,,,,,,,,
Return on Equity,5%,11%,8%,-20%,-5%,-10%,0%,8%,7%,15%
Return on Capital Emp,,10%,10%,2%,4%,-1%,4%,10%,9%,19%
,,,,,,,,,,
