HOV SERVICES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Dec-11,Dec-12,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 4.38 , 7.49 , 24.74 , 9.41 , 11.36 , 15.92 , 12.54 , 13.51 , 13.65 , 12.55 , 11.06 , 12.55 , 11.53 
Expenses, 6.21 , 5.51 , 7.89 , 7.74 , 10.30 , 15.40 , 13.39 , 12.66 , 12.82 , 11.52 , 9.80 , 11.12 , 10.98 
Operating Profit, (1.83), 1.98 , 16.85 , 1.67 , 1.06 , 0.52 , (0.85), 0.85 , 0.83 , 1.03 , 1.26 , 1.43 , 0.55 
Other Income, 1.00 , 1.82 , 0.23 , 1.00 , 1.47 , 1.27 , 0.82 , 1.33 , 1.06 , (9.18), (9.59), -   , -   
Depreciation, 0.38 , 0.35 , 0.37 , 0.27 , 0.34 , 0.40 , 0.44 , 0.36 , 0.18 , 0.10 , 0.08 , 0.08 , 0.08 
Interest, 0.01 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Profit before tax, (1.22), 3.45 , 16.71 , 2.40 , 2.19 , 1.41 , (0.48), 1.83 , 1.72 , (8.26), (8.41), 1.35 , 0.47 
Tax, 0.36 , 0.53 , 0.09 , 0.80 , 0.77 , 0.56 , (0.18), 0.44 , 0.59 , 0.58 , 0.58 ,0%,0%
Net profit, (1.58), 2.92 , 16.62 , 1.60 , 1.42 , 0.85 , (0.29), 1.39 , 1.13 , (8.84), (8.98), 1.35 , 0.47 
EPS, (1.26), 2.34 , 13.31 , 1.28 , 1.14 , 0.68 , (0.23), 1.11 , 0.90 , (7.05), (7.13), 1.07 , 0.37 
Price to earning, (24.20), 38.04 , 7.49 , 36.36 , 28.61 , 126.98 , (567.74), 71.27 , 216.29 , (34.90), -   , 143.78 , -   
Price, 30.45 , 88.93 , 99.61 , 46.57 , 32.52 , 86.35 , 131.57 , 79.04 , 195.02 , 246.08 , 129.60 , 154.20 , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,171.23%,60.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,26.44%,68.11%,17.75%,9.33%,3.27%,0.00%,6.29%,6.08%,8.21%,11.39%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,12.41%,-9.24%,2.01%,0.03%,-8.06%,0.03%,-9.24%
,,,,,,OPM,19.75%,6.70%,4.74%,6.82%,11.39%,11.39%,4.74%
,,,,,,Price to Earning, 75.00 , 95.90 , 138.18 , 143.78 , -   , 143.78 , -   
