DUCON INFRATECHNOLOGIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , 5.94 , 5.94 , 5.94 , 7.84 , 7.84 , 7.84 , 7.84 , 7.84 
Reserves, -   , -   , 17.75 , 17.89 , 17.99 , 18.09 , 17.96 , 18.34 , 59.49 , 61.78 
Borrowings, -   , -   , 4.91 , 5.04 , 6.57 , 6.61 , 6.58 , 6.99 , 83.06 , 92.78 
Other Liabilities, -   , -   , 2.36 , 5.05 , 2.20 , 4.83 , 5.40 , 1.49 , 91.22 , 94.54 
Total, -   , -   , 30.96 , 33.92 , 32.70 , 37.37 , 37.78 , 34.66 , 241.61 , 256.94 
,,,,,,,,,,
Net Block, -   , -   , 3.46 , 3.72 , 3.57 , 3.73 , 3.18 , 3.13 , 2.55 , 1.75 
Capital Work in Progress, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Investments, -   , -   , 5.00 , 5.00 , 5.00 , 5.00 , 5.00 , 5.00 , 5.04 , 5.04 
Other Assets, -   , -   , 22.50 , 25.20 , 24.13 , 28.64 , 29.60 , 26.53 , 234.02 , 250.15 
Total, -   , -   , 30.96 , 33.92 , 32.70 , 37.37 , 37.78 , 34.66 , 241.61 , 256.94 
,,,,,,,,,,
Working Capital, -   , -   , 20.14 , 20.15 , 21.93 , 23.81 , 24.20 , 25.04 , 142.80 , 155.61 
Debtors, -   , -   , 7.09 , 7.97 , 7.19 , 11.38 , 14.07 , 11.86 , 200.08 , 216.08 
Inventory, -   , -   , 3.21 , 5.48 , 4.96 , 5.90 , 3.98 , 4.46 , 4.96 , 5.03 
,,,,,,,,,,
Debtor Days, -   , -   , 121.32 , 120.16 , 81.88 , 130.46 , 142.81 , 133.12 , 183.47 , 190.05 
Inventory Turnover, -   , -   , 6.64 , 4.42 , 6.46 , 5.40 , 9.04 , 7.29 , 80.25 , 82.50 
,,,,,,,,,,
Return on Equity,,,0%,1%,0%,0%,0%,1%,7%,3%
Return on Capital Emp,,,3%,4%,4%,4%,3%,4%,16%,7%
,,,,,,,,,,
