E-LAND APPAREL LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Sep-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 35.99 , 35.99 , 47.99 , 47.99 , 47.99 , 47.99 , 47.99 , 47.99 , 47.99 , 47.99 
Reserves, 140.65 , 152.34 , 184.70 , (39.47), (95.55), (156.38), (212.14), (233.80), (146.03), (282.72)
Borrowings, 249.72 , 358.28 , 403.73 , 620.36 , 623.93 , 338.24 , 330.64 , 327.46 , 128.02 , 10.01 
Other Liabilities, 83.57 , 128.78 , 165.61 , 89.30 , 103.52 , 53.66 , 62.08 , 56.65 , 125.20 , 336.38 
Total, 509.93 , 675.39 , 802.03 , 718.18 , 679.89 , 283.51 , 228.57 , 198.30 , 155.18 , 111.66 
,,,,,,,,,,
Net Block, 235.47 , 303.67 , 407.84 , 451.68 , 449.85 , 50.36 , 46.61 , 58.55 , 45.51 , 43.90 
Capital Work in Progress, 28.14 , 45.93 , 9.53 , 10.38 , 0.22 , 0.93 , 0.50 , -   , -   , -   
Investments, 0.97 , 0.24 , 14.80 , 0.11 , 0.09 , 0.09 , 0.09 , 0.09 , 0.38 , 0.24 
Other Assets, 245.35 , 325.55 , 369.86 , 256.01 , 229.73 , 232.13 , 181.37 , 139.66 , 109.29 , 67.52 
Total, 509.93 , 675.39 , 802.03 , 718.18 , 679.89 , 283.51 , 228.57 , 198.30 , 155.18 , 111.66 
,,,,,,,,,,
Working Capital, 161.78 , 196.77 , 204.25 , 166.71 , 126.21 , 178.47 , 119.29 , 83.01 , (15.91), (268.86)
Debtors, 90.99 , 85.00 , 73.18 , 45.44 , 64.42 , 42.69 , 44.39 , 44.56 , 37.49 , 23.05 
Inventory, 108.01 , 171.57 , 204.51 , 66.77 , 80.82 , 24.91 , 43.70 , 44.60 , 30.38 , 21.96 
,,,,,,,,,,
Debtor Days, 110.29 , 87.20 , 62.51 , 54.40 , 182.27 , 48.42 , 92.57 , 69.35 , 63.54 , 45.85 
Inventory Turnover, 2.79 , 2.07 , 2.09 , 4.57 , 1.60 , 12.92 , 4.01 , 5.26 , 7.09 , 8.36 
,,,,,,,,,,
Return on Equity,8%,6%,-11%,-3845%,,,,,,
Return on Capital Emp,,8%,2%,-43%,-4%,1%,-5%,-10%,-54%,
,,,,,,,,,,
