ICSA (INDIA) LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Jun-13,Jun-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 1,101.83 "," 1,224.50 "," 1,365.52 ", 902.34 , 416.41 , 57.28 , 23.54 , 4.56 , -   , -   , -   , -   , -   
Expenses, 851.52 , 991.65 ," 1,099.52 ", 972.71 ," 1,062.56 ", 662.79 , 354.95 , 14.52 , 0.98 , 130.50 , 149.29 , -   , -   
Operating Profit, 250.31 , 232.85 , 266.00 , (70.37), (646.15), (605.51), (331.41), (9.96), (0.98), (130.50), (149.29), -   , -   
Other Income, 1.77 , 8.51 , 11.03 , 26.60 , 0.32 , 0.20 , 0.11 , 0.29 , 2.87 , (0.54), 0.63 , -   , -   
Depreciation, 12.08 , 21.37 , 27.88 , 28.17 , 35.24 , 12.59 , 11.63 , 10.87 , 10.51 , 10.45 , 9.06 , 9.06 , 9.06 
Interest, 53.78 , 62.42 , 98.38 , 118.95 , 140.74 , 2.49 , 0.15 , 0.27 , 0.13 , 0.10 , 0.12 , 0.12 , 0.12 
Profit before tax, 206.63 , 170.48 , 179.14 , (178.47), (820.62), (620.40), (343.08), (20.81), (8.76), (141.59), (157.84), (9.18), (9.18)
Tax, 53.77 , 48.63 , 53.51 , (0.41), 2.87 , -   , -   , -   , -   , -   , -   ,0%,0%
Net profit, 152.86 , 121.85 , 125.63 , (178.07), (823.48), (620.39), (343.08), (20.80), (8.76), (141.59), (157.85), (9.18), (9.18)
EPS, 32.56 , 25.77 , 26.31 , (36.99), (171.06), (128.88), (71.27), (4.32), (1.82), (29.41), (32.79), (1.91), (1.91)
Price to earning, 3.26 , 5.05 , 4.59 , (0.54), (0.03), (0.05), (0.05), (0.57), (1.59), (0.10), -   , -   , -   
Price, 106.04 , 130.16 , 120.79 , 19.82 , 4.44 , 6.27 , 3.21 , 2.44 , 2.89 , 2.90 , 0.70 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,4.30%,6.21%,6.85%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,22.72%,19.02%,19.48%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-100.00%,-100.00%,-100.00%,-100.00%,,-100.00%,-100.00%
,,,,,,OPM,14.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,Price to Earning, 4.30 ,  ,  ,  , -   , -   , -   
