DOLLAR INDUSTRIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Mar-08,Mar-09,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , 6.75 , 6.75 , 7.75 , 7.75 , 7.75 , 7.75 , 7.75 , 10.84 , 11.34 
Reserves, -   , 38.12 , 43.87 , 70.83 , 80.83 , 93.41 , 112.64 , 137.74 , 176.68 , 341.40 
Borrowings, -   , 31.92 , 37.60 , 144.80 , 157.72 , 151.22 , 180.56 , 233.04 , 216.01 , 184.11 
Other Liabilities, -   , 46.70 , 46.09 , 66.55 , 91.43 , 94.66 , 120.68 , 138.54 , 128.10 , 136.69 
Total, -   , 123.49 , 134.31 , 289.93 , 337.73 , 347.04 , 421.63 , 517.07 , 531.63 , 673.54 
,,,,,,,,,,
Net Block, -   , 4.00 , 9.81 , 55.63 , 55.80 , 75.64 , 85.36 , 83.71 , 74.85 , 68.41 
Capital Work in Progress, -   , -   , -   , 0.41 , -   , -   , 0.37 , 0.64 , 0.02 , 2.13 
Investments, -   , -   , -   , -   , -   , -   , -   , 0.02 , 0.30 , 3.75 
Other Assets, -   , 119.49 , 124.50 , 233.89 , 281.93 , 271.40 , 335.90 , 432.70 , 456.46 , 599.25 
Total, -   , 123.49 , 134.31 , 289.93 , 337.73 , 347.04 , 421.63 , 517.07 , 531.63 , 673.54 
,,,,,,,,,,
Working Capital, -   , 72.79 , 78.41 , 167.34 , 190.50 , 176.74 , 215.22 , 294.16 , 328.36 , 462.56 
Debtors, -   , 49.49 , 55.92 , 91.78 , 110.33 , 141.40 , 185.20 , 193.16 , 226.71 , 271.71 
Inventory, -   , 45.52 , 44.66 , 116.31 , 123.88 , 106.72 , 121.14 , 208.37 , 204.87 , 282.90 
,,,,,,,,,,
Debtor Days, -   , 94.01 , 94.15 , 73.86 , 76.18 , 79.05 , 93.35 , 92.98 , 93.38 , 100.94 
Inventory Turnover, -   , 4.22 , 4.85 , 3.90 , 4.27 , 6.12 , 5.98 , 3.64 , 4.33 , 3.47 
,,,,,,,,,,
Return on Equity,,12%,11%,11%,13%,14%,16%,18%,23%,18%
Return on Capital Emp,,26%,13%,18%,15%,15%,18%,18%,22%,24%
,,,,,,,,,,
