DWARIKESH SUGAR INDUSTRIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Sep-08,Sep-09,Sep-10,Sep-11,Sep-12,Sep-13,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 16.31 , 16.31 , 16.31 , 16.31 , 16.31 , 16.31 , 16.31 , 16.31 , 18.83 , 18.83 
Reserves, 106.38 , 126.08 , 117.02 , 103.86 , 92.55 , 73.19 , 56.44 , 69.60 , 267.18 , 346.99 
Borrowings, 590.38 , 449.37 , 453.48 , 466.65 , 525.03 , 392.20 , 624.36 , 655.62 , 532.80 , 342.26 
Other Liabilities, 176.34 , 182.50 , 216.06 , 66.40 , 215.87 , 279.77 , 397.34 , 342.36 , 259.91 , 339.99 
Total, 889.41 , 774.26 , 802.87 , 653.22 , 849.76 , 761.47 ," 1,094.45 "," 1,083.89 "," 1,078.72 "," 1,048.07 "
,,,,,,,,,,
Net Block, 585.92 , 555.03 , 524.53 , 495.71 , 469.92 , 440.44 , 398.57 , 356.38 , 330.60 , 340.82 
Capital Work in Progress, 0.63 , 0.41 , 0.78 , 4.61 , 0.06 , -   , 0.04 , 0.28 , 1.25 , 0.19 
Investments, 0.22 , 0.22 , 0.27 , 0.24 , 0.24 , 0.24 , 0.24 , 0.24 , 0.32 , 0.32 
Other Assets, 302.64 , 218.60 , 277.29 , 152.66 , 379.54 , 320.79 , 695.60 , 726.99 , 746.55 , 706.74 
Total, 889.41 , 774.26 , 802.87 , 653.22 , 849.76 , 761.47 ," 1,094.45 "," 1,083.89 "," 1,078.72 "," 1,048.07 "
,,,,,,,,,,
Working Capital, 126.30 , 36.10 , 61.23 , 86.26 , 163.67 , 41.02 , 298.26 , 384.63 , 486.64 , 366.75 
Debtors, 2.10 , 0.77 , 0.22 , 0.01 , 25.78 , 2.00 , 42.80 , 64.26 , 54.69 , 53.46 
Inventory, 182.54 , 91.38 , 154.52 , 136.15 , 239.35 , 191.95 , 491.07 , 536.56 , 609.94 , 531.22 
,,,,,,,,,,
Debtor Days, 2.87 , 0.61 , 0.14 , 0.01 , 13.47 , 0.79 , 13.84 , 29.53 , 16.77 , 13.65 
Inventory Turnover, 1.46 , 5.05 , 3.59 , 4.36 , 2.92 , 4.83 , 2.30 , 1.48 , 1.95 , 2.69 
,,,,,,,,,,
Return on Equity,-20%,18%,-7%,-11%,-10%,-22%,-23%,45%,55%,28%
Return on Capital Emp,,14%,6%,7%,10%,7%,8%,13%,33%,17%
,,,,,,,,,,
