IFB INDUSTRIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 441.91 , 533.96 , 679.74 , 802.95 , 915.91 ," 1,020.79 "," 1,261.50 "," 1,500.94 "," 1,740.65 "," 2,148.51 "," 2,438.62 "," 2,651.94 "," 2,584.26 "
Expenses, 409.60 , 489.82 , 615.94 , 761.02 , 864.13 , 974.85 ," 1,174.13 "," 1,430.58 "," 1,636.37 "," 1,990.67 "," 2,295.84 "," 2,488.36 "," 2,432.96 "
Operating Profit, 32.31 , 44.14 , 63.80 , 41.93 , 51.78 , 45.94 , 87.37 , 70.36 , 104.28 , 157.84 , 142.78 , 163.58 , 151.31 
Other Income, 291.73 , 22.87 , 17.11 , 10.70 , 11.69 , 8.17 , 15.08 , 13.31 , 12.83 , 18.45 , 37.37 , -   , -   
Depreciation, 7.56 , 8.68 , 10.41 , 14.88 , 18.32 , 22.59 , 40.64 , 45.37 , 43.59 , 51.38 , 52.81 , 52.81 , 52.81 
Interest, 1.28 , 0.82 , 1.69 , 1.81 , 1.74 , 2.19 , 2.54 , 3.14 , 5.34 , 5.57 , 4.95 , 4.95 , 4.95 
Profit before tax, 316.29 , 57.51 , 68.81 , 35.94 , 43.41 , 29.33 , 59.27 , 35.16 , 68.18 , 119.34 , 122.39 , 105.82 , 93.55 
Tax, 1.21 , 3.75 , 18.50 , 5.40 , 11.96 , 7.73 , 9.54 , 3.80 , 13.05 , 36.09 , 33.47 ,27%,27%
Net profit, 315.08 , 53.76 , 50.31 , 30.54 , 31.45 , 21.60 , 49.73 , 31.36 , 55.13 , 83.25 , 88.92 , 76.88 , 67.96 
EPS, 106.35 , 15.14 , 13.07 , 7.92 , 7.76 , 5.33 , 12.27 , 7.74 , 13.61 , 20.55 , 21.94 , 18.97 , 16.77 
Price to earning, 0.28 , 6.07 , 11.05 , 9.95 , 11.01 , 15.81 , 51.37 , 45.60 , 46.94 , 58.72 , 38.82 , 47.52 , 26.87 
Price, 29.52 , 91.81 , 144.36 , 78.83 , 85.44 , 84.28 , 630.47 , 352.90 , 638.66 ," 1,206.37 ", 851.85 , 901.58 , 450.75 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,7.31%,8.27%,9.39%,5.22%,5.65%,4.50%,6.93%,4.69%,5.99%,7.35%,5.85%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,19.21%,17.87%,18.59%,19.42%,23.43%,23.43%,17.87%
,,,,,,OPM,6.33%,5.96%,6.07%,6.17%,5.85%,6.17%,5.85%
,,,,,,Price to Earning, 26.87 , 34.78 , 42.87 , 47.52 , 38.82 , 47.52 , 26.87 
