LUMAX AUTO TECHNOLOGIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 160.47 , 226.02 , 339.06 , 434.80 , 431.07 , 474.58 , 522.03 , 559.50 , 480.74 , 595.94 , 760.49 , 760.49 , 630.26 
Expenses, 157.09 , 215.89 , 310.89 , 401.68 , 396.00 , 442.67 , 487.21 , 524.76 , 457.17 , 551.93 , 708.15 , 708.15 , 590.84 
Operating Profit, 3.38 , 10.13 , 28.17 , 33.12 , 35.07 , 31.91 , 34.82 , 34.74 , 23.57 , 44.01 , 52.34 , 52.34 , 39.41 
Other Income, 0.60 , 2.70 , 1.82 , 4.49 , 1.84 , 2.12 , 25.51 , 8.34 , 0.61 , 12.57 , 26.78 , -   , -   
Depreciation, 2.03 , 2.71 , 2.74 , 3.16 , 3.94 , 8.15 , 10.38 , 11.70 , 13.08 , 13.33 , 14.15 , 14.15 , 14.15 
Interest, 1.40 , 1.36 , 0.52 , 0.34 , 0.26 , 3.37 , 5.19 , 4.33 , 3.55 , 2.69 , 3.46 , 3.46 , 3.46 
Profit before tax, 0.55 , 8.76 , 26.73 , 34.11 , 32.71 , 22.50 , 44.76 , 27.04 , 7.54 , 40.56 , 61.51 , 34.73 , 21.80 
Tax, (0.02), 1.99 , 8.83 , 10.68 , 10.41 , 7.48 , 12.71 , 7.49 , 2.15 , 11.34 , 16.07 ,26%,26%
Net profit, 0.57 , 6.77 , 17.90 , 23.43 , 22.30 , 15.02 , 32.05 , 19.55 , 5.39 , 29.22 , 45.46 , 25.66 , 16.11 
EPS, 0.10 , 1.16 , 2.63 , 3.44 , 3.27 , 2.20 , 4.70 , 2.87 , 0.79 , 4.29 , 6.67 , 3.76 , 2.36 
Price to earning, 39.54 , 21.89 , 11.41 , 8.58 , 8.20 , 10.15 , 12.91 , 22.80 , 129.10 , 40.48 , 18.64 , 52.76 , 18.64 
Price, 3.88 , 25.48 , 29.98 , 29.49 , 26.82 , 22.36 , 60.72 , 65.41 , 102.10 , 173.53 , 124.35 , 198.59 , 44.06 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,305.26%,68.69%,45.70%,34.91%,36.68%,54.46%,29.77%,32.79%,118.92%,46.65%,,,
OPM,2.11%,4.48%,8.31%,7.62%,8.14%,6.72%,6.67%,6.21%,4.90%,7.38%,6.88%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,15.69%,8.39%,6.69%,4.51%,27.61%,27.61%,4.51%
,,,,,,OPM,6.60%,6.78%,6.42%,6.25%,6.88%,6.88%,6.25%
,,,,,,Price to Earning, 29.43 , 31.36 , 39.01 , 52.76 , 18.64 , 52.76 , 18.64 
