5PAISA CAPITAL LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , 4.58 , 11.37 , (1.22), 7.47 , 19.65 , 62.64 , 62.64 , 32.18 
Expenses, -   , -   , -   , -   , -   , 2.84 , 3.43 , 4.24 , 22.31 , 51.35 , 76.85 , 62.64 , 32.18 
Operating Profit, -   , -   , -   , -   , -   , 1.74 , 7.94 , (5.46), (14.84), (31.70), (14.21), -   , -   
Other Income, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , -   , 0.01 , 0.28 , 0.67 , 1.44 , 1.44 , 1.44 
Interest, -   , -   , -   , -   , -   , -   , 2.77 , 2.24 , 1.26 , 0.86 , 6.83 , 6.83 , 6.83 
Profit before tax, -   , -   , -   , -   , -   , 1.74 , 5.17 , (7.70), (16.38), (33.21), (22.48), (8.27), (8.27)
Tax, -   , -   , -   , -   , -   , 0.58 , 1.64 , (2.20), (4.70), (7.91), (5.91),0%,0%
Net profit, -   , -   , -   , -   , -   , 1.16 , 3.53 , (5.50), (11.69), (25.30), (16.57), (8.27), (8.27)
EPS, -   , -   , -   , -   , -   , 3.80 , 11.57 , (18.03), (9.18), (19.86), (13.01), (6.49), (6.49)
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  , (17.71), -   , -   , -   
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , 351.82 , 369.60 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,37.99%,69.83%,0.00%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,20.01%,218.78%,218.78%,20.01%
,,,,,,OPM,23.13%,23.13%,23.13%,0.00%,0.00%,0.00%,0.00%
,,,,,,Price to Earning,  ,  ,  ,  , -   , -   , -   
