GOKUL AGRO RESOURCES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , 686.93 ," 3,626.84 "," 4,245.17 "," 4,276.86 "," 4,270.50 "," 7,867.97 "," 4,308.74 "
Expenses, -   , -   , -   , -   , -   , -   , 688.12 ," 3,571.29 "," 4,162.95 "," 4,176.61 "," 4,159.93 "," 7,664.25 "," 4,228.84 "
Operating Profit, -   , -   , -   , -   , -   , -   , (1.19), 55.55 , 82.22 , 100.25 , 110.57 , 203.71 , 79.90 
Other Income, -   , -   , -   , -   , -   , -   , 18.17 , 18.23 , 21.43 , 10.70 , 9.91 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , (0.41), 15.21 , 20.70 , 27.67 , 29.78 , 29.78 , 29.78 
Interest, -   , -   , -   , -   , -   , -   , 15.86 , 39.82 , 53.36 , 66.83 , 82.56 , 82.56 , 82.56 
Profit before tax, -   , -   , -   , -   , -   , -   , 1.71 , 19.50 , 30.36 , 17.44 , 8.14 , 91.37 , (32.44)
Tax, -   , -   , -   , -   , -   , -   , (1.82), 5.29 , 10.77 , 4.54 , 3.01 ,37%,37%
Net profit, -   , -   , -   , -   , -   , -   , 3.53 , 14.20 , 19.59 , 12.90 , 5.12 , 57.59 , (20.45)
EPS, -   , -   , -   , -   , -   , -   , 141.20 , 1.08 , 1.49 , 0.98 , 0.39 , 4.37 , (1.55)
Price to earning,  ,  ,  ,  ,  ,  ,  , 10.38 , 17.33 , 22.97 , 29.63 , 29.63 , 20.08 
Price, -   , -   , -   , -   , -   , -   , -   , 11.18 , 25.74 , 22.47 , 11.50 , 129.34 , (31.12)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.53%,1.94%,2.34%,2.59%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,83.97%,0.75%,83.97%,0.75%
,,,,,,OPM,1.85%,1.85%,1.85%,1.96%,2.59%,2.59%,1.85%
,,,,,,Price to Earning, 20.08 , 20.08 , 20.08 , 20.08 , 29.63 , 29.63 , 20.08 
