DIC INDIA LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Dec-14,Dec-15,Dec-16,Dec-17,Dec-18,Trailing,Best Case,Worst Case
Sales, 458.12 , 552.96 , 676.99 , 715.99 , 711.71 , 722.20 , 749.54 , 707.23 , 738.29 , 837.96 , 845.24 , 951.09 , 864.11 
Expenses, 424.50 , 516.67 , 628.93 , 669.40 , 683.91 , 722.98 , 690.74 , 665.28 , 726.13 , 839.27 , 842.47 , 928.55 , 861.28 
Operating Profit, 33.62 , 36.29 , 48.06 , 46.59 , 27.80 , (0.78), 58.80 , 41.95 , 12.16 , (1.31), 2.77 , 22.54 , 2.83 
Other Income, 10.39 , 39.48 , 3.15 , 0.39 , 0.86 , (19.50), 3.76 , 6.34 , (9.47), 14.55 , 17.52 , -   , -   
Depreciation, 8.23 , 8.60 , 8.82 , 10.09 , 12.19 , 12.65 , 17.39 , 15.31 , 15.59 , 13.30 , 13.05 , 13.05 , 13.05 
Interest, 3.82 , 2.32 , 4.20 , 5.40 , 4.47 , 6.29 , 4.88 , 2.17 , 2.90 , 5.83 , 5.84 , 5.84 , 5.84 
Profit before tax, 31.96 , 64.85 , 38.19 , 31.49 , 11.99 , (39.22), 40.30 , 30.82 , (15.79), (5.89), 1.40 , 3.65 , (16.06)
Tax, 9.66 , 14.11 , 11.74 , 9.99 , (0.54), (8.33), 10.58 , 7.97 , (4.00), 3.44 , 3.18 ,227%,227%
Net profit, 22.30 , 50.74 , 26.45 , 21.50 , 12.54 , (30.89), 29.71 , 22.84 , (11.79), (9.32), (1.79), (4.64), 20.42 
EPS, 24.29 , 55.28 , 28.82 , 23.42 , 13.66 , (33.65), 32.37 , 24.88 , (12.84), (10.15), (1.95), (5.05), 22.24 
Price to earning, 8.25 , 4.49 , 7.19 , 10.22 , 28.04 , (11.29), 20.63 , 19.58 , (45.31), (36.47), -   , 19.58 , -   
Price, 200.35 , 248.28 , 207.04 , 239.29 , 383.11 , 380.00 , 667.77 , 487.10 , 582.03 , 370.30 , 339.15 , (98.89), -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,16.46%,9.05%,13.88%,17.07%,29.27%,0.00%,12.35%,16.07%,0.00%,0.00%,,,
OPM,7.34%,6.56%,7.10%,6.51%,3.91%,0.00%,7.84%,5.93%,1.65%,0.00%,0.33%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,6.94%,3.09%,3.32%,3.79%,13.50%,13.50%,3.09%
,,,,,,OPM,4.44%,3.61%,3.01%,2.37%,0.33%,2.37%,0.33%
,,,,,,Price to Earning, 14.06 , 19.62 , 20.10 , 19.58 , -   , 19.58 , -   
