JAI BALAJI INDUSTRIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Jun-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 1,689.26 "," 1,912.19 "," 2,165.76 "," 2,933.23 "," 1,544.84 "," 1,968.10 "," 1,477.74 "," 1,212.57 "," 1,563.90 "," 2,389.33 "," 3,054.56 "," 3,650.42 "," 2,432.50 "
Expenses," 1,529.58 "," 1,679.05 "," 1,835.78 "," 2,887.47 "," 1,619.96 "," 1,937.42 "," 1,498.17 "," 1,364.61 "," 1,663.89 "," 2,482.32 "," 3,124.95 "," 3,650.42 "," 2,432.50 "
Operating Profit, 159.68 , 233.14 , 329.98 , 45.76 , (75.12), 30.68 , (20.43), (152.04), (99.99), (92.99), (70.39), -   , -   
Other Income, 28.38 , 28.09 , 22.21 , 24.16 , 21.71 , 22.66 , 31.46 , 15.89 , 20.76 , (22.40), 25.18 , -   , -   
Depreciation, 50.79 , 69.29 , 82.81 , 138.76 , 86.13 , 135.72 , 126.16 , 116.20 , 111.90 , 107.36 , 103.07 , 103.07 , 103.07 
Interest, 130.56 , 142.71 , 156.37 , 320.00 , 176.45 , 336.36 , 375.00 , 413.77 , 44.95 , 33.91 , 36.36 , 36.36 , 36.36 
Profit before tax, 6.71 , 49.23 , 113.01 , (388.84), (315.98), (418.74), (490.13), (666.12), (236.08), (256.66), (184.64), (139.43), (139.43)
Tax, 5.43 , 17.42 , 39.06 , (112.78), (102.85), (99.79), (103.75), -   , -   , -   , -   ,0%,0%
Net profit, 1.28 , 31.81 , 73.95 , (276.06), (213.13), (318.95), (386.37), (666.12), (236.09), (256.66), (184.65), (139.43), (139.43)
EPS, 0.27 , 4.99 , 11.59 , (43.28), (33.42), (47.41), (52.37), (85.64), (27.36), (26.63), (19.16), (14.47), (14.47)
Price to earning, 369.45 , 47.81 , 17.56 , (0.81), (0.81), (0.28), (0.26), (0.09), (0.73), (0.48), -   , -   , -   
Price, 100.35 , 238.47 , 203.58 , 34.92 , 27.19 , 13.11 , 13.41 , 7.88 , 19.90 , 12.82 , 28.55 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,146.88%,8.02%,3.45%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,9.45%,12.19%,15.24%,1.56%,0.00%,1.56%,0.00%,0.00%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,3.93%,1.41%,9.11%,17.37%,52.78%,52.78%,1.41%
,,,,,,OPM,4.24%,0.58%,0.36%,0.00%,0.00%,0.00%,0.00%
,,,,,,Price to Earning, 144.94 ,  ,  ,  , -   , -   , -   
