GUJARAT RAFFIA INDUSTRIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-06,Sep-07,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 10.11 , 4.99 , 4.99 , 4.99 , 4.99 , 4.99 , 4.99 , 4.99 , 4.99 , 4.99 
Reserves, (4.69), 1.80 , 3.82 , 4.39 , 4.97 , 5.74 , 6.68 , 7.47 , 8.25 , 9.10 
Borrowings, 2.91 , 2.46 , 4.89 , 5.92 , 13.28 , 20.58 , 17.90 , 18.26 , 10.85 , 10.23 
Other Liabilities, 5.27 , 3.09 , 4.04 , 3.46 , 4.60 , 6.00 , 5.40 , 3.95 , 9.23 , 8.10 
Total, 13.60 , 12.34 , 17.74 , 18.76 , 27.84 , 37.31 , 34.97 , 34.67 , 33.32 , 32.42 
,,,,,,,,,,
Net Block, 6.27 , 5.70 , 4.81 , 3.29 , 2.64 , 16.52 , 14.86 , 13.01 , 11.31 , 10.19 
Capital Work in Progress, -   , -   , 0.39 , 0.81 , 4.71 , -   , -   , -   , -   , -   
Investments, -   , -   , 0.05 , 0.05 , 0.05 , 0.05 , 0.05 , 0.05 , -   , -   
Other Assets, 7.33 , 6.64 , 12.49 , 14.61 , 20.44 , 20.74 , 20.06 , 21.61 , 22.01 , 22.23 
Total, 13.60 , 12.34 , 17.74 , 18.76 , 27.84 , 37.31 , 34.97 , 34.67 , 33.32 , 32.42 
,,,,,,,,,,
Working Capital, 2.06 , 3.55 , 8.45 , 11.15 , 15.84 , 14.74 , 14.66 , 17.66 , 12.78 , 14.13 
Debtors, 2.49 , 1.41 , 1.36 , 2.98 , 6.32 , 8.81 , 6.13 , 8.98 , 10.59 , 9.78 
Inventory, 2.22 , 3.27 , 8.38 , 10.49 , 11.33 , 9.95 , 11.73 , 10.83 , 9.65 , 8.65 
,,,,,,,,,,
Debtor Days, 48.50 , 19.23 , 19.35 , 39.62 , 83.22 , 88.10 , 57.76 , 88.51 , 105.90 , 92.43 
Inventory Turnover, 8.44 , 8.18 , 3.06 , 2.62 , 2.45 , 3.67 , 3.30 , 3.42 , 3.78 , 4.46 
,,,,,,,,,,
Return on Equity,5%,20%,6%,6%,6%,7%,7%,6%,6%,6%
Return on Capital Emp,,22%,8%,7%,6%,8%,8%,7%,9%,8%
,,,,,,,,,,
