HEIDELBERGCEMENT INDIA LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Dec-08,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 762.22 , 936.39 , 865.54 , 987.96 , 869.81 ," 1,208.91 "," 2,044.28 "," 1,648.35 "," 1,694.37 "," 1,865.59 "," 2,133.35 "," 2,133.35 "," 1,801.53 "
Expenses, 670.35 , 770.48 , 766.61 , 922.11 , 793.34 ," 1,106.69 "," 1,722.17 "," 1,417.18 "," 1,415.51 "," 1,502.23 "," 1,650.01 "," 1,650.01 "," 1,550.28 "
Operating Profit, 91.87 , 165.91 , 98.93 , 65.85 , 76.47 , 102.22 , 322.11 , 231.17 , 278.86 , 363.36 , 483.34 , 483.34 , 251.24 
Other Income, 40.33 , 39.05 , 30.08 , 11.76 , 3.08 , 11.82 , 74.15 , 22.44 , 23.69 , 19.93 , 34.82 , -   , -   
Depreciation, 21.37 , 25.81 , 28.85 , 31.40 , 23.59 , 89.07 , 137.54 , 99.78 , 99.15 , 101.17 , 101.77 , 101.77 , 101.77 
Interest, 4.10 , 4.40 , 4.21 , 3.85 , 10.30 , 105.64 , 138.93 , 108.45 , 89.77 , 74.45 , 74.78 , 74.78 , 74.78 
Profit before tax, 106.73 , 174.75 , 95.95 , 42.36 , 45.66 , (80.67), 119.79 , 45.38 , 113.63 , 207.67 , 341.61 , 306.79 , 74.69 
Tax, (18.80), 40.71 , 32.65 , 13.19 , 14.82 , (39.94), 60.26 , 9.99 , 37.42 , 74.49 , 120.95 ,35%,35%
Net profit, 125.53 , 134.04 , 63.30 , 29.17 , 30.84 , (40.73), 59.53 , 35.39 , 76.21 , 133.18 , 220.66 , 198.17 , 48.25 
EPS, 7.94 , 5.91 , 2.79 , 1.29 , 1.36 , (1.80), 2.63 , 1.56 , 3.36 , 5.88 , 9.74 , 8.74 , 2.13 
Price to earning, 1.88 , 8.05 , 15.09 , 23.34 , 39.46 , (21.64), 28.34 , 60.62 , 38.73 , 26.10 , 21.64 , 36.77 , 21.64 
Price, 14.92 , 47.60 , 42.15 , 30.04 , 53.70 , 38.90 , 74.43 , 94.66 , 130.24 , 153.40 , 210.70 , 321.57 , 46.07 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,59.47%,42.54%,,,
OPM,12.05%,17.72%,11.43%,6.67%,8.79%,8.46%,15.76%,14.02%,16.46%,19.48%,22.66%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,10.46%,11.60%,16.49%,-3.00%,14.35%,14.35%,-3.00%
,,,,,,OPM,13.95%,13.95%,15.34%,16.77%,22.66%,22.66%,13.95%
,,,,,,Price to Earning, 26.32 , 34.03 , 35.09 , 36.77 , 21.64 , 36.77 , 21.64 
