GLAXOSMITHKLINE PHARMACEUTICALS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Dec-08,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 1,665.29 "," 1,872.65 "," 2,111.64 "," 2,375.88 "," 2,626.44 "," 2,546.15 "," 3,287.57 "," 2,826.21 "," 2,902.99 "," 2,871.69 "," 3,128.53 "," 3,128.53 "," 2,733.78 "
Expenses," 1,156.85 "," 1,235.52 "," 1,374.36 "," 1,593.49 "," 1,811.35 "," 2,024.71 "," 2,660.98 "," 2,363.14 "," 2,484.77 "," 2,363.25 "," 2,542.00 "," 2,542.00 "," 2,292.06 "
Operating Profit, 508.44 , 637.13 , 737.28 , 782.39 , 815.09 , 521.44 , 626.59 , 463.07 , 418.22 , 508.44 , 586.53 , 586.53 , 441.72 
Other Income, 310.70 , 152.87 , 121.74 , (162.59), 49.32 , 228.11 , 147.84 , 138.24 , 120.18 , 71.32 , 126.32 , -   , -   
Depreciation, 16.34 , 16.37 , 17.63 , 20.41 , 17.84 , 19.88 , 25.35 , 24.95 , 27.08 , 37.99 , 48.59 , 48.59 , 48.59 
Interest, 0.53 , 0.37 , 0.62 , 0.33 , -   , 0.33 , 0.47 , 0.42 , 0.25 , 0.19 , 0.55 , 0.55 , 0.55 
Profit before tax, 802.27 , 773.26 , 840.77 , 599.06 , 846.56 , 729.32 , 748.63 , 575.94 , 511.08 , 541.58 , 663.71 , 537.39 , 392.58 
Tax, 225.70 , 260.97 , 277.08 , 168.46 , 269.31 , 227.43 , 276.97 , 201.41 , 174.30 , 189.60 , 238.35 ,36%,36%
Net profit, 576.57 , 512.29 , 563.69 , 430.60 , 577.26 , 501.88 , 471.65 , 374.53 , 336.78 , 351.99 , 425.36 , 344.40 , 251.60 
EPS, 68.07 , 60.48 , 66.55 , 50.83 , 68.15 , 59.25 , 55.68 , 44.21 , 39.76 , 41.55 , 25.11 , 20.33 , 14.85 
Price to earning, 8.49 , 13.04 , 17.48 , 19.30 , 15.75 , 25.14 , 29.14 , 42.04 , 33.34 , 27.82 , 50.97 , 50.97 , 25.68 
Price, 577.69 , 788.70 ," 1,163.09 ", 981.22 ," 1,073.19 "," 1,489.51 "," 1,622.78 "," 1,858.69 "," 1,325.40 "," 1,156.00 "," 1,279.80 "," 1,036.22 ", 381.43 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,58.76%,49.60%,60.10%,88.52%,73.36%,84.38%,112.24%,113.08%,75.45%,84.22%,,,
OPM,30.53%,34.02%,34.92%,32.93%,31.03%,20.48%,19.06%,16.38%,14.41%,17.71%,18.75%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,6.24%,4.49%,1.80%,-4.41%,8.94%,8.94%,-4.41%
,,,,,,OPM,23.99%,21.28%,17.58%,16.16%,18.75%,18.75%,16.16%
,,,,,,Price to Earning, 25.68 , 30.44 , 34.74 , 38.54 , 50.97 , 50.97 , 25.68 
