GRINDWELL NORTON LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-08,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 27.68 , 27.68 , 27.68 , 27.68 , 27.68 , 27.68 , 27.68 , 27.68 , 55.36 , 55.36 
Reserves, 281.08 , 329.65 , 376.51 , 438.15 , 493.55 , 533.60 , 589.34 , 733.77 , 832.56 , 927.48 
Borrowings, -   , -   , -   , -   , -   , -   , 2.27 , 3.00 , 2.72 , -   
Other Liabilities, 155.07 , 178.36 , 201.98 , 261.27 , 241.90 , 257.80 , 300.97 , 309.10 , 313.41 , 353.24 
Total, 463.83 , 535.69 , 606.17 , 727.10 , 763.13 , 819.08 , 920.26 ," 1,073.55 "," 1,204.05 "," 1,336.08 "
,,,,,,,,,,
Net Block, 157.78 , 182.34 , 186.84 , 197.06 , 286.14 , 337.56 , 326.75 , 322.31 , 341.43 , 316.76 
Capital Work in Progress, 23.49 , 6.82 , 12.53 , 81.56 , 59.64 , 4.19 , 6.69 , 13.02 , 5.56 , 23.43 
Investments, 62.72 , 50.13 , 52.61 , 45.34 , 51.18 , 55.49 , 55.49 , 155.29 , 165.84 , 191.14 
Other Assets, 219.84 , 296.40 , 354.19 , 403.14 , 366.17 , 421.84 , 531.33 , 582.93 , 691.22 , 804.75 
Total, 463.83 , 535.69 , 606.17 , 727.10 , 763.13 , 819.08 , 920.26 ," 1,073.55 "," 1,204.05 "," 1,336.08 "
,,,,,,,,,,
Working Capital, 64.77 , 118.04 , 152.21 , 141.87 , 124.27 , 164.04 , 230.36 , 273.83 , 377.81 , 451.51 
Debtors, 70.70 , 84.99 , 91.32 , 95.46 , 95.33 , 85.75 , 125.71 , 126.37 , 123.42 , 173.24 
Inventory, 100.84 , 93.55 , 124.79 , 159.99 , 153.13 , 178.19 , 212.84 , 246.75 , 235.44 , 263.48 
,,,,,,,,,,
Debtor Days, 51.39 , 44.17 , 41.84 , 38.43 , 36.82 , 33.24 , 41.32 , 40.96 , 36.43 , 44.99 
Inventory Turnover, 4.98 , 7.51 , 6.38 , 5.67 , 6.17 , 5.28 , 5.22 , 4.56 , 5.25 , 5.33 
,,,,,,,,,,
Return on Equity,18%,24%,21%,22%,19%,15%,16%,13%,13%,15%
Return on Capital Emp,,39%,33%,34%,28%,22%,25%,23%,21%,24%
,,,,,,,,,,
