HEALTHCARE GLOBAL ENTERPRISES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , 66.20 , 159.07 , 201.83 , 291.42 , 349.10 , 420.15 , 471.13 , 545.04 , 586.87 , 641.43 , 656.03 , 646.50 
Expenses, -   , 69.20 , 132.74 , 169.83 , 251.94 , 336.37 , 363.70 , 407.22 , 462.37 , 499.64 , 546.43 , 558.86 , 563.93 
Operating Profit, -   , (3.00), 26.33 , 32.00 , 39.48 , 12.73 , 56.45 , 63.91 , 82.67 , 87.23 , 95.00 , 97.16 , 82.57 
Other Income, -   , 1.31 , 1.03 , 3.33 , 2.21 , 3.42 , 0.04 , (1.20), 6.72 , 20.37 , 12.55 , -   , -   
Depreciation, -   , 6.36 , 13.53 , 18.07 , 23.27 , 27.90 , 32.58 , 36.91 , 44.16 , 43.92 , 47.17 , 47.17 , 47.17 
Interest, -   , 1.47 , 10.92 , 20.83 , 25.00 , 28.24 , 31.52 , 34.44 , 15.93 , 26.80 , 47.81 , 47.81 , 47.81 
Profit before tax, -   , (9.52), 2.92 , (3.56), (6.58), (39.99), (7.61), (8.64), 29.30 , 36.87 , 12.57 , 2.18 , (12.41)
Tax, -   , -   , (0.52), 0.45 , 0.58 , (0.49), (5.24), (3.91), 9.82 , 11.98 , 5.32 ,42%,42%
Net profit, -   , (9.52), 3.44 , (4.00), (7.16), (39.50), (2.37), (4.73), 19.48 , 24.89 , 7.25 , 1.26 , (7.16)
EPS, -   , (1.83), 0.65 , (0.67), (1.07), (5.79), (0.34), (0.56), 2.27 , 2.86 , 0.82 , 0.14 , (0.81)
Price to earning,  ,  ,  ,  ,  ,  ,  , (332.19), 112.63 , 107.03 , 242.35 , 242.35 , 154.00 
Price, -   , -   , -   , -   , -   , -   , -   , 184.69 , 255.96 , 306.54 , 199.85 , 34.69 , (125.36)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,16.55%,15.85%,13.55%,3.65%,13.44%,13.57%,15.17%,14.86%,14.81%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,20.50%,15.03%,11.78%,9.30%,11.78%,9.30%
,,,,,,OPM,12.97%,13.07%,12.77%,14.59%,14.81%,14.81%,12.77%
,,,,,,Price to Earning, 154.00 , 154.00 , 154.00 , 154.00 , 242.35 , 242.35 , 154.00 
