DHUNSERI TEA & INDUSTRIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , 164.22 , 183.09 , 187.73 , 177.02 , 180.82 , 181.50 , 180.90 
Expenses, -   , -   , -   , -   , -   , -   , 136.76 , 150.52 , 164.19 , 160.36 , 170.52 , 157.40 , 170.60 
Operating Profit, -   , -   , -   , -   , -   , -   , 27.46 , 32.57 , 23.54 , 16.66 , 10.30 , 24.11 , 10.30 
Other Income, -   , -   , -   , -   , -   , 0.01 , 2.98 , 3.43 , 2.21 , 1.86 , 2.81 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , 6.12 , 5.39 , 7.24 , 7.44 , 7.49 , 7.49 , 7.49 
Interest, -   , -   , -   , -   , -   , -   , 3.59 , 2.81 , 3.26 , 4.47 , 2.87 , 2.87 , 2.87 
Profit before tax, -   , -   , -   , -   , -   , 0.01 , 20.72 , 27.80 , 15.26 , 6.61 , 2.75 , 13.75 , (0.06)
Tax, -   , -   , -   , -   , -   , -   , 3.15 , 5.59 , 3.46 , (1.62), 1.39 ,51%,51%
Net profit, -   , -   , -   , -   , -   , -   , 17.57 , 22.22 , 11.81 , 8.23 , 1.35 , 6.80 , (0.03)
EPS, -   , -   , -   , -   , -   , -   , 25.08 , 31.72 , 16.86 , 11.75 , 1.93 , 9.71 , (0.04)
Price to earning,  ,  ,  ,  ,  ,  , 8.63 , 8.52 , 19.34 , 25.39 , 114.96 , 114.96 , 35.37 
Price, -   , -   , -   , -   , -   , -   , 216.41 , 270.23 , 326.03 , 298.34 , 221.55 ," 1,115.91 ", (1.38)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,29.94%,25.25%,47.50%,68.17%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,16.72%,17.79%,12.54%,9.41%,5.70%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,2.53%,2.15%,2.53%,2.15%
,,,,,,OPM,14.08%,14.08%,14.08%,13.28%,5.70%,13.28%,5.70%
,,,,,,Price to Earning, 35.37 , 35.37 , 35.37 , 42.05 , 114.96 , 114.96 , 35.37 
