FEDDERS ELECTRIC & ENGINEERING LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jun-08,Jun-09,Jun-10,Jun-11,Jun-12,Jun-13,Jun-14,Jun-15,Mar-16,Mar-17
Equity Share Capital, 30.77 , 30.77 , 30.77 , 30.77 , 30.77 , 30.77 , 30.77 , 30.77 , 30.77 , 33.97 
Reserves, 116.74 , 124.25 , 160.55 , 201.51 , 242.45 , 288.39 , 328.71 , 365.18 , 383.90 , 424.45 
Borrowings, 74.89 , 116.43 , 184.64 , 262.32 , 372.60 , 520.85 , 547.35 , 545.01 , 511.19 , 464.61 
Other Liabilities, 46.12 , 50.98 , 81.75 , 132.51 , 150.77 , 108.46 , 165.26 , 263.19 , 261.59 , 275.59 
Total, 268.52 , 322.43 , 457.71 , 627.11 , 796.59 , 948.47 ," 1,072.09 "," 1,204.15 "," 1,187.45 "," 1,198.62 "
,,,,,,,,,,
Net Block, 40.83 , 89.04 , 100.55 , 132.72 , 253.11 , 260.90 , 257.82 , 262.44 , 260.75 , 256.38 
Capital Work in Progress, 19.57 , 9.43 , 9.75 , 24.60 , 22.01 , 22.83 , 11.46 , 11.19 , 11.86 , 12.05 
Investments, 0.86 , 0.87 , 0.87 , 0.98 , 1.03 , 1.03 , 0.73 , 0.73 , 0.66 , 0.66 
Other Assets, 207.26 , 223.09 , 346.54 , 468.81 , 520.44 , 663.71 , 802.08 , 929.79 , 914.18 , 929.53 
Total, 268.52 , 322.43 , 457.71 , 627.11 , 796.59 , 948.47 ," 1,072.09 "," 1,204.15 "," 1,187.45 "," 1,198.62 "
,,,,,,,,,,
Working Capital, 161.14 , 172.11 , 264.79 , 336.30 , 369.67 , 555.25 , 636.82 , 666.60 , 652.59 , 653.94 
Debtors, 71.24 , 73.84 , 117.51 , 177.22 , 200.94 , 299.12 , 332.49 , 429.53 , 437.74 , 458.10 
Inventory, 95.63 , 95.58 , 158.28 , 192.61 , 211.14 , 287.51 , 404.60 , 416.26 , 393.89 , 379.81 
,,,,,,,,,,
Debtor Days, 58.30 , 58.56 , 62.61 , 76.50 , 83.10 , 107.56 , 104.65 , 119.22 , 154.98 , 123.53 
Inventory Turnover, 4.66 , 4.82 , 4.33 , 4.39 , 4.18 , 3.53 , 2.87 , 3.16 , 2.62 , 3.56 
,,,,,,,,,,
Return on Equity,13%,7%,21%,20%,16%,16%,12%,10%,5%,4%
Return on Capital Emp,,11%,21%,20%,16%,14%,16%,13%,9%,10%
,,,,,,,,,,
