BATA INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-08,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 64.26 , 64.26 , 64.26 , 64.26 , 64.26 , 64.26 , 64.26 , 64.26 , 64.26 , 64.26 
Reserves, 226.89 , 270.03 , 333.97 , 510.04 , 636.07 , 776.74 , 957.88 ," 1,157.82 "," 1,261.02 "," 1,414.45 "
Borrowings, 44.63 , 25.05 , 13.78 , -   , -   , -   , -   , -   , -   , -   
Other Liabilities, 248.62 , 256.54 , 399.09 , 349.89 , 430.10 , 541.75 , 615.30 , 508.31 , 597.32 , 666.16 
Total, 584.40 , 615.88 , 811.10 , 924.19 ," 1,130.43 "," 1,382.75 "," 1,637.44 "," 1,730.39 "," 1,922.60 "," 2,144.87 "
,,,,,,,,,,
Net Block, 117.02 , 130.29 , 153.12 , 219.00 , 241.35 , 246.24 , 306.69 , 302.11 , 265.95 , 294.46 
Capital Work in Progress, 0.86 , 0.63 , 0.32 , 8.07 , 18.12 , 23.71 , 48.17 , 19.04 , 29.84 , 12.12 
Investments, 17.25 , 17.25 , 17.25 , 4.85 , 4.85 , 4.85 , 4.95 , 4.95 , 4.95 , 4.95 
Other Assets, 449.27 , 467.71 , 640.41 , 692.27 , 866.11 ," 1,107.95 "," 1,277.63 "," 1,404.29 "," 1,621.86 "," 1,833.34 "
Total, 584.40 , 615.88 , 811.10 , 924.19 ," 1,130.43 "," 1,382.75 "," 1,637.44 "," 1,730.39 "," 1,922.60 "," 2,144.87 "
,,,,,,,,,,
Working Capital, 200.65 , 211.17 , 241.32 , 342.38 , 436.01 , 566.20 , 662.33 , 895.98 ," 1,024.54 "," 1,167.18 "
Debtors, 25.89 , 25.18 , 30.20 , 31.39 , 44.95 , 50.92 , 58.42 , 69.64 , 67.15 , 88.63 
Inventory, 292.23 , 277.46 , 299.36 , 391.32 , 462.09 , 582.69 , 704.70 , 678.90 , 705.44 , 762.11 
,,,,,,,,,,
Debtor Days, 9.58 , 8.42 , 8.77 , 7.43 , 8.90 , 9.00 , 7.92 , 10.52 , 9.93 , 12.30 
Inventory Turnover, 3.38 , 3.93 , 4.20 , 3.94 , 3.99 , 3.54 , 3.82 , 3.56 , 3.50 , 3.45 
,,,,,,,,,,
Return on Equity,21%,20%,24%,39%,25%,23%,23%,18%,12%,15%
Return on Capital Emp,,32%,39%,67%,41%,38%,37%,28%,20%,25%
,,,,,,,,,,
