DOLLAR INDUSTRIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Mar-08,Mar-09,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , 192.14 , 216.79 , 453.54 , 528.63 , 652.85 , 724.11 , 758.28 , 886.13 , 982.52 ," 1,003.18 "," 1,089.39 "," 1,089.94 "
Expenses, -   , 184.16 , 207.88 , 419.71 , 486.05 , 610.23 , 668.17 , 692.30 , 785.31 , 858.16 , 869.69 , 944.43 , 992.36 
Operating Profit, -   , 7.98 , 8.91 , 33.83 , 42.58 , 42.62 , 55.94 , 65.98 , 100.82 , 124.36 , 133.49 , 144.96 , 97.58 
Other Income, -   , 2.38 , 2.40 , 2.58 , 3.11 , 3.35 , 6.45 , 8.26 , 1.40 , 2.01 , 2.27 , -   , -   
Depreciation, -   , 0.39 , 0.95 , 9.11 , 10.04 , 8.85 , 11.37 , 13.73 , 14.78 , 12.17 , 11.49 , 11.49 , 11.49 
Interest, -   , 3.61 , 3.85 , 14.50 , 19.38 , 16.55 , 20.24 , 20.20 , 20.70 , 18.39 , 14.37 , 14.37 , 14.37 
Profit before tax, -   , 6.38 , 6.52 , 12.80 , 16.58 , 20.59 , 30.77 , 40.90 , 66.75 , 95.81 , 109.90 , 119.10 , 71.72 
Tax, -   , 0.86 , 0.78 , 4.01 , 5.41 , 6.87 , 11.33 , 14.55 , 23.26 , 31.79 , 38.54 ,35%,35%
Net profit, -   , 5.52 , 5.74 , 8.79 , 11.17 , 13.72 , 19.45 , 26.35 , 43.49 , 64.02 , 71.34 , 77.34 , 46.57 
EPS, -   , 1.64 , 1.70 , 2.27 , 2.88 , 3.54 , 5.02 , 6.80 , 8.02 , 11.29 , 12.58 , 13.64 , 8.21 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  , 37.12 , 36.97 , 19.73 , 31.27 , 19.73 
Price, -   , -   , -   , -   , -   , -   , -   , -   , 297.75 , 417.36 , 248.15 , 426.43 , 161.99 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,8.87%,8.33%,8.45%,0.00%,4.40%,12.46%,14.17%,,,
OPM,0.00%,4.15%,4.11%,7.46%,8.05%,6.53%,7.73%,8.70%,11.38%,12.66%,13.31%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,24.10%,13.20%,10.71%,10.88%,10.88%,10.71%
,,,,,,OPM,8.95%,9.35%,9.73%,11.08%,13.31%,13.31%,8.95%
,,,,,,Price to Earning, 31.27 , 31.27 , 31.27 , 31.27 , 19.73 , 31.27 , 19.73 
