HI-TECH PIPES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Mar-06,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , 214.35 , 320.68 , 348.74 , 369.69 , 383.38 , 458.43 , 503.94 , 591.36 , 821.51 ," 1,028.52 "," 1,141.23 ", 969.45 
Expenses, -   , 208.62 , 307.43 , 332.66 , 352.22 , 364.46 , 433.22 , 472.00 , 554.86 , 775.76 , 975.90 ," 1,073.25 ", 919.85 
Operating Profit, -   , 5.73 , 13.25 , 16.08 , 17.47 , 18.92 , 25.21 , 31.94 , 36.50 , 45.75 , 52.62 , 67.99 , 49.60 
Other Income, -   , 0.25 , 1.68 , 0.68 , 0.46 , 0.63 , 1.02 , 0.97 , 2.54 , 1.79 , 0.68 , -   , -   
Depreciation, -   , 1.20 , 2.61 , 2.88 , 3.24 , 3.42 , 3.98 , 5.79 , 6.12 , 3.27 , 3.97 , 3.97 , 3.97 
Interest, -   , 1.90 , 7.74 , 10.85 , 11.52 , 12.09 , 14.68 , 17.05 , 19.73 , 22.87 , 23.44 , 23.44 , 23.44 
Profit before tax, -   , 2.88 , 4.59 , 3.02 , 3.16 , 4.02 , 7.56 , 10.08 , 13.19 , 21.40 , 25.89 , 40.58 , 22.19 
Tax, -   , 0.68 , 1.42 , 1.06 , 1.08 , 1.43 , 2.58 , 3.57 , 4.40 , 6.84 , 8.80 ,34%,34%
Net profit, -   , 2.20 , 3.16 , 1.95 , 2.07 , 2.59 , 4.98 , 6.50 , 8.79 , 14.56 , 17.09 , 26.78 , 14.65 
EPS, -   , 5.17 , 7.43 , 4.58 , 4.87 , 3.74 , 6.58 , 6.31 , 8.53 , 13.87 , 15.97 , 25.03 , 13.69 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  , 15.70 , 27.78 , 19.43 , 20.97 , 19.43 
Price, -   , -   , -   , -   , -   , -   , -   , -   , 133.96 , 385.11 , 310.30 , 524.81 , 265.93 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.63%,8.00%,2.96%,1.79%,,,
OPM,0.00%,2.67%,4.13%,4.61%,4.73%,4.94%,5.50%,6.34%,6.17%,5.57%,5.12%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,14.38%,17.32%,21.46%,38.92%,38.92%,14.38%
,,,,,,OPM,5.26%,5.52%,5.74%,5.96%,5.12%,5.96%,5.12%
,,,,,,Price to Earning, 20.97 , 20.97 , 20.97 , 20.97 , 19.43 , 20.97 , 19.43 
