JIK INDUSTRIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-08,Mar-10,Jun-11,Jun-12,Jun-13,Jun-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 24.28 , 28.74 , 62.45 , 72.64 , 72.64 , 72.64 , 72.64 , 72.64 , 72.64 , 72.64 
Reserves, 8.92 , 11.83 , 30.69 , 38.65 , 33.27 , 29.74 , (133.43), (145.96), (94.96), (94.22)
Borrowings, 3.10 , 19.32 , 20.37 , 3.30 , 3.16 , 2.51 , 2.46 , 2.83 , 3.80 , 5.32 
Other Liabilities, 2.82 , 1.34 , 1.23 , 1.35 , 1.50 , 1.95 , 91.83 , 96.19 , 95.72 , 95.70 
Total, 39.12 , 61.23 , 114.74 , 115.94 , 110.57 , 106.84 , 33.50 , 25.70 , 77.20 , 79.44 
,,,,,,,,,,
Net Block, 5.69 , 5.31 , 4.73 , 4.24 , 3.76 , 0.47 , 0.28 , 0.17 , 0.07 , 0.08 
Capital Work in Progress, 1.36 , 7.26 , -   , -   , -   , -   , -   , -   , -   , 0.05 
Investments, 19.43 , 24.03 , 24.03 , 24.03 , 67.89 , 67.89 , 24.89 , 24.64 , 76.91 , 78.93 
Other Assets, 12.64 , 24.63 , 85.98 , 87.67 , 38.92 , 38.48 , 8.33 , 0.89 , 0.22 , 0.38 
Total, 39.12 , 61.23 , 114.74 , 115.94 , 110.57 , 106.84 , 33.50 , 25.70 , 77.20 , 79.44 
,,,,,,,,,,
Working Capital, 9.82 , 23.29 , 84.75 , 86.32 , 37.42 , 36.53 , (83.50), (95.30), (95.50), (95.32)
Debtors, 0.02 , 11.28 , 22.58 , 25.15 , 25.73 , 25.73 , -   , -   , 0.03 , -   
Inventory, 0.49 , 1.02 , 1.68 , 0.73 , 0.62 , 0.13 , 0.14 , 0.07 , 0.05 , 0.12 
,,,,,,,,,,
Debtor Days, 13.52 , 201.53 , 165.30 , 340.62 ," 1,116.70 "," 7,697.91 ", -   , -   , 8.98 , -   
Inventory Turnover, 1.10 , 20.03 , 29.68 , 36.92 , 13.56 , 9.38 , 5.36 , 6.86 , 24.40 , 2.75 
,,,,,,,,,,
Return on Equity,79%,7%,6%,1%,-5%,-3%,,,,
Return on Capital Emp,,6%,5%,1%,-5%,-3%,-700%,,,
,,,,,,,,,,
