COFFEE DAY ENTERPRISES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,May-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 0.06 , 0.18 , 13.80 , 15.56 , 10.43 , 33.20 , 30.56 , 53.14 , 100.57 , 143.61 , 122.33 , 240.54 , 192.23 
Expenses, 0.15 , 14.58 , 6.66 , 7.75 , 15.91 , 25.59 , 25.47 , 45.80 , 59.05 , 80.63 , 86.18 , 150.06 , 135.42 
Operating Profit, (0.09), (14.40), 7.14 , 7.81 , (5.48), 7.61 , 5.09 , 7.34 , 41.52 , 62.98 , 36.15 , 90.48 , 56.81 
Other Income, 0.04 , 2.50 , 12.88 , 9.65 , 0.89 , 14.33 , 2.04 , 10.15 , 1.92 , 1.71 , 1.75 , -   , -   
Depreciation, -   , -   , 0.27 , 0.63 , 0.65 , 0.68 , 0.63 , 0.47 , 0.51 , 0.44 , 0.48 , 0.48 , 0.48 
Interest, 7.66 , 26.82 , 16.06 , 31.35 , 68.56 , 100.94 , 132.29 , 167.77 , 122.52 , 125.73 , 105.08 , 105.08 , 105.08 
Profit before tax, (7.71), (38.72), 3.70 , (14.51), (73.80), (79.67), (125.80), (150.75), (79.58), (61.49), (67.66), (15.08), (48.75)
Tax, -   , -   , 0.74 , 0.22 , -   , -   , -   , -   , -   , -   , -   ,0%,0%
Net profit, (7.71), (38.72), 2.96 , (14.73), (73.80), (79.68), (125.79), (150.75), (79.58), (61.49), (67.65), (15.08), (48.75)
EPS, (6.09), (27.18), 2.08 , (10.34), (52.43), (55.93), (86.21), (7.32), (3.86), (2.91), (3.20), (0.71), (2.31)
Price to earning,  ,  ,  ,  ,  ,  ,  , (32.58), (62.29), (107.38), -   , -   , -   
Price, -   , -   , -   , -   , -   , -   , -   , 238.42 , 240.63 , 312.57 , 242.70 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,51.74%,50.19%,0.00%,22.92%,16.66%,13.81%,41.28%,43.85%,29.55%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,137.38%,39.74%,68.96%,67.50%,42.80%,67.50%,39.74%
,,,,,,OPM,34.78%,34.19%,34.49%,37.62%,29.55%,37.62%,29.55%
,,,,,,Price to Earning,  ,  ,  ,  , -   , -   , -   
