D B REALTY LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 8.31 , 243.26 , 243.26 , 243.26 , 243.26 , 243.26 , 243.26 , 243.26 , 243.26 , 243.26 
Reserves, 900.85 ," 2,853.75 "," 3,109.45 "," 3,172.64 "," 3,172.95 "," 3,131.83 "," 3,107.39 "," 2,700.62 "," 2,702.38 "," 2,613.35 "
Borrowings, 776.64 , 319.08 , 174.84 , 75.06 , 235.64 , 262.04 , 294.54 , 447.42 , 413.95 , 580.48 
Other Liabilities, 32.51 , 86.31 , 50.57 , 61.72 , 60.34 , 137.64 , 253.45 , 316.69 , 356.99 , 170.59 
Total," 1,718.31 "," 3,502.40 "," 3,578.12 "," 3,552.68 "," 3,712.19 "," 3,774.77 "," 3,898.64 "," 3,707.99 "," 3,716.58 "," 3,607.68 "
,,,,,,,,,,
Net Block, 14.56 , 15.82 , 17.31 , 11.95 , 12.23 , 12.59 , 12.11 , 14.27 , 30.74 , 8.24 
Capital Work in Progress, 1.47 , 0.72 , 8.58 , 23.65 , 22.51 , 19.14 , 21.10 , 20.61 , -   , 0.15 
Investments, 655.67 ," 1,773.48 "," 1,336.09 "," 2,172.24 "," 1,957.98 "," 2,424.69 "," 2,510.63 "," 1,931.73 "," 1,942.01 "," 2,247.93 "
Other Assets," 1,046.61 "," 1,712.38 "," 2,216.14 "," 1,344.84 "," 1,719.47 "," 1,318.35 "," 1,354.80 "," 1,741.38 "," 1,743.83 "," 1,351.36 "
Total," 1,718.31 "," 3,502.40 "," 3,578.12 "," 3,552.68 "," 3,712.19 "," 3,774.77 "," 3,898.64 "," 3,707.99 "," 3,716.58 "," 3,607.68 "
,,,,,,,,,,
Working Capital," 1,014.10 "," 1,626.07 "," 2,165.57 "," 1,283.12 "," 1,659.13 "," 1,180.71 "," 1,101.35 "," 1,424.69 "," 1,386.84 "," 1,180.77 "
Debtors, -   , -   , -   , -   , 43.00 , -   , -   , 44.11 , 43.16 , 15.79 
Inventory, 64.55 , 97.37 , 199.34 , 206.81 , 200.57 , 226.26 , 254.31 , 292.88 , 288.40 , 306.94 
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , 365.00 , -   , -   , 90.94 , 874.70 ," 1,423.05 "
Inventory Turnover, 4.49 , 2.33 , -   , -   , 0.21 , -   , -   , 0.60 , 0.06 , 0.01 
,,,,,,,,,,
Return on Equity,28%,7%,8%,2%,0%,-1%,-1%,2%,0%,-3%
Return on Capital Emp,,10%,9%,2%,0%,0%,0%,4%,3%,-2%
,,,,,,,,,,
