ACCELYA KALE SOLUTIONS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Jun-11,Jun-12,Jun-13,Jun-14,Jun-15,Jun-16,Jun-17,Jun-18
Equity Share Capital, 13.36 , 13.81 , 15.88 , 14.93 , 14.93 , 14.93 , 14.93 , 14.93 , 14.93 , 14.93 
Reserves, 80.00 , 97.75 , 113.88 , 91.01 , 61.37 , 65.39 , 79.63 , 80.04 , 158.17 , 158.95 
Borrowings, 3.02 , 4.56 , 0.43 , 0.54 , 0.07 , -   , -   , -   , -   , -   
Other Liabilities, 27.03 , 28.22 , 29.76 , 58.89 , 124.03 , 103.25 , 92.96 , 99.43 , 65.98 , 68.55 
Total, 123.41 , 144.34 , 159.95 , 165.37 , 200.40 , 183.57 , 187.52 , 194.40 , 239.08 , 242.43 
,,,,,,,,,,
Net Block, 35.16 , 29.51 , 14.89 , 25.94 , 32.62 , 31.90 , 29.05 , 35.02 , 35.55 , 40.34 
Capital Work in Progress, -   , 0.28 , 3.78 , 2.82 , 1.94 , 1.06 , 0.04 , 0.06 , 0.64 , 0.44 
Investments, 27.88 , 33.02 , 41.15 , 40.35 , 75.78 , 72.40 , 84.72 , 71.55 , 85.44 , 80.16 
Other Assets, 60.37 , 81.53 , 100.13 , 96.26 , 90.06 , 78.21 , 73.71 , 87.77 , 117.45 , 121.49 
Total, 123.41 , 144.34 , 159.95 , 165.37 , 200.40 , 183.57 , 187.52 , 194.40 , 239.08 , 242.43 
,,,,,,,,,,
Working Capital, 33.34 , 53.31 , 70.37 , 37.37 , (33.97), (25.04), (19.25), (11.66), 51.47 , 52.94 
Debtors, 21.97 , 32.62 , 25.53 , 23.38 , 26.82 , 27.98 , 30.97 , 36.37 , 56.94 , 52.51 
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, 78.15 , 93.95 , 54.73 , 49.23 , 37.31 , 36.06 , 41.52 , 42.86 , 62.52 , 55.73 
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,11%,17%,10%,30%,93%,109%,80%,85%,55%,54%
Return on Capital Emp,,20%,12%,40%,115%,165%,128%,131%,109%,81%
,,,,,,,,,,
