3M INDIA LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Dec-08,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 742.47 ," 1,086.86 "," 1,191.41 "," 1,405.10 "," 1,574.13 "," 1,742.34 "," 1,840.30 "," 2,139.60 "," 2,362.98 "," 2,556.14 "," 2,798.19 "," 2,852.00 "," 2,821.11 "
Expenses, 654.33 , 948.38 ," 1,035.07 "," 1,282.99 "," 1,462.55 "," 1,630.29 "," 1,636.20 "," 1,802.94 "," 1,994.13 "," 2,076.24 "," 2,242.24 "," 2,285.36 "," 2,462.02 "
Operating Profit, 88.14 , 138.48 , 156.34 , 122.11 , 111.58 , 112.05 , 204.10 , 336.66 , 368.85 , 479.90 , 555.95 , 566.64 , 359.09 
Other Income, 10.59 , 19.90 , 10.88 , 5.03 , 10.15 , 19.36 , 14.09 , 17.62 , 49.40 , 43.53 , 41.99 , -   , -   
Depreciation, 7.23 , 16.95 , 17.36 , 27.03 , 36.30 , 47.60 , 49.60 , 48.93 , 46.75 , 41.80 , 41.87 , 41.87 , 41.87 
Interest, 0.47 , 0.56 , 1.80 , 4.00 , 10.24 , 14.75 , 4.02 , 2.25 , 2.27 , 1.94 , 1.79 , 1.79 , 1.79 
Profit before tax, 91.03 , 140.87 , 148.06 , 96.11 , 75.20 , 69.07 , 164.57 , 303.10 , 369.22 , 479.69 , 554.28 , 522.98 , 315.43 
Tax, 33.57 , 48.03 , 49.26 , 31.34 , 22.93 , 26.08 , 56.22 , 108.34 , 128.47 , 169.15 , 196.40 ,35%,35%
Net profit, 57.46 , 92.84 , 98.80 , 64.77 , 52.27 , 42.99 , 108.34 , 194.76 , 240.76 , 310.54 , 357.89 , 337.67 , 203.66 
EPS, 51.01 , 82.41 , 87.70 , 57.50 , 46.40 , 38.16 , 96.17 , 172.89 , 213.72 , 275.67 , 317.56 , 299.62 , 180.71 
Price to earning, 18.91 , 28.02 , 42.20 , 72.32 , 75.02 , 97.22 , 88.09 , 71.70 , 55.30 , 74.34 , 75.38 , 75.38 , 63.50 
Price, 964.69 ," 2,309.29 "," 3,701.55 "," 4,158.37 "," 3,481.11 "," 3,710.03 "," 8,472.10 "," 12,396.15 "," 11,818.69 "," 20,492.99 "," 23,937.50 "," 22,585.20 "," 11,475.39 "
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,11.87%,12.74%,13.12%,8.69%,7.09%,6.43%,11.09%,15.73%,15.61%,18.77%,19.87%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,14.72%,11.52%,10.18%,11.57%,9.47%,11.57%,9.47%
,,,,,,OPM,12.73%,12.74%,14.11%,16.79%,19.87%,19.87%,12.73%
,,,,,,Price to Earning, 63.50 , 76.17 , 77.00 , 69.18 , 75.38 , 75.38 , 63.50 
