GUJARAT SIDHEE CEMENT LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Sep-08,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 144.67 , 144.67 , 144.67 , 144.67 , 36.21 , 36.21 , 71.21 , 86.21 , 86.21 , 86.21 
Reserves, (98.75), (41.46), (44.49), (38.97), 105.57 , 102.84 , 98.36 , 91.13 , 259.71 , 293.85 
Borrowings, 72.59 , 27.57 , 7.26 , 8.48 , 3.02 , 20.67 , 19.49 , 20.91 , 28.43 , 46.30 
Other Liabilities, 88.03 , 102.86 , 120.22 , 131.23 , 140.72 , 146.67 , 150.43 , 139.77 , 245.56 , 236.23 
Total, 206.54 , 233.64 , 227.66 , 245.41 , 285.52 , 306.39 , 339.49 , 338.02 , 619.91 , 662.59 
,,,,,,,,,,
Net Block, 64.66 , 65.84 , 77.35 , 78.45 , 76.54 , 120.60 , 99.71 , 99.94 , 357.87 , 415.83 
Capital Work in Progress, 3.35 , 2.87 , 2.37 , 0.77 , 13.01 , 2.55 , 3.54 , 4.71 , 21.76 , 5.73 
Investments, -   , 0.01 , 0.01 , -   , -   , 7.83 , 60.33 , 74.33 , 79.04 , 79.04 
Other Assets, 138.53 , 164.92 , 147.93 , 166.19 , 195.97 , 175.41 , 175.91 , 159.04 , 161.24 , 161.99 
Total, 206.54 , 233.64 , 227.66 , 245.41 , 285.52 , 306.39 , 339.49 , 338.02 , 619.91 , 662.59 
,,,,,,,,,,
Working Capital, 50.50 , 62.06 , 27.71 , 34.96 , 55.25 , 28.74 , 25.48 , 19.27 , (84.32), (74.24)
Debtors, 18.95 , 39.27 , 35.11 , 16.05 , 16.11 , 16.72 , 16.60 , 12.31 , 8.72 , 11.94 
Inventory, 35.59 , 48.98 , 47.42 , 55.57 , 66.51 , 57.98 , 62.22 , 54.80 , 56.08 , 45.91 
,,,,,,,,,,
Debtor Days, 12.13 , 22.20 , 36.60 , 13.35 , 13.19 , 14.89 , 12.52 , 9.58 , 7.33 , 8.13 
Inventory Turnover, 16.02 , 13.18 , 7.38 , 7.90 , 6.70 , 7.07 , 7.78 , 8.56 , 7.75 , 11.68 
,,,,,,,,,,
Return on Equity,106%,56%,-3%,5%,28%,-2%,-3%,-4%,-9%,9%
Return on Capital Emp,,75%,-3%,13%,46%,2%,-1%,-4%,-11%,9%
,,,,,,,,,,
