AGC NETWORKS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Sep-09,Sep-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 510.77 , 494.60 , 305.60 , 621.00 , 594.30 , 305.27 , 340.12 , 313.19 , 245.96 , 303.39 , 324.67 , 374.23 , 262.54 
Expenses, 482.07 , 444.60 , 285.40 , 583.70 , 608.40 , 427.79 , 365.24 , 329.06 , 253.26 , 274.44 , 306.51 , 353.30 , 257.50 
Operating Profit, 28.70 , 50.00 , 20.20 , 37.30 , (14.10), (122.52), (25.12), (15.87), (7.30), 28.95 , 18.16 , 20.93 , 5.04 
Other Income, 3.88 , 11.00 , 2.90 , 10.70 , 42.10 , 15.95 , 56.75 , 8.49 , 15.00 , 25.82 , 10.08 , -   , -   
Depreciation, 8.48 , 7.40 , 3.70 , 12.70 , 11.10 , 9.04 , 5.13 , 5.23 , 2.39 , 2.13 , 2.11 , 2.11 , 2.11 
Interest, 1.06 , 0.80 , 0.60 , 6.30 , 32.30 , 29.29 , 24.17 , 24.10 , 21.59 , 20.90 , 18.40 , 18.40 , 18.40 
Profit before tax, 23.04 , 52.80 , 18.80 , 29.00 , (15.40), (144.90), 2.33 , (36.71), (16.28), 31.74 , 7.73 , 0.42 , (15.47)
Tax, 7.67 , 17.80 , 6.00 , 12.70 , 7.80 , 0.18 , 2.71 , -   , -   , -   , -   ,0%,0%
Net profit, 15.37 , 35.00 , 12.80 , 16.30 , (23.20), (145.08), (0.38), (36.71), (16.28), 31.74 , 7.73 , 0.42 , (15.47)
EPS, 10.80 , 24.59 , 8.99 , 11.45 , (8.15), (50.97), (0.13), (12.90), (5.72), 11.15 , 2.60 , 0.14 , (5.20)
Price to earning, 7.89 , 4.75 , 10.24 , 8.05 , (13.86), (1.05), (741.47), (5.33), (17.54), 10.37 , 44.24 , 44.24 , 14.26 
Price, 85.21 , 116.88 , 92.04 , 92.15 , 112.99 , 53.41 , 98.98 , 68.73 , 100.30 , 115.57 , 115.00 , 6.28 , (74.16)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,32.40%,18.26%,24.92%,130.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,5.62%,10.11%,6.61%,6.01%,0.00%,0.00%,0.00%,0.00%,0.00%,9.54%,5.59%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-5.62%,-0.10%,-12.58%,-3.74%,23.35%,23.35%,-12.58%
,,,,,,OPM,4.09%,2.43%,1.92%,3.36%,5.59%,5.59%,1.92%
,,,,,,Price to Earning, 14.26 , 20.88 , 27.30 , 27.30 , 44.24 , 44.24 , 14.26 
