KIRLOSKAR OIL ENGINES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   ," 2,218.49 "," 2,423.02 "," 2,326.41 "," 2,357.33 "," 2,319.24 "," 2,507.11 "," 2,463.05 "," 2,670.42 "," 2,831.89 "," 3,204.36 "," 3,204.36 "," 2,904.07 "
Expenses, -   ," 1,907.64 "," 2,090.63 "," 2,023.04 "," 2,013.19 "," 2,017.62 "," 2,261.67 "," 2,214.88 "," 2,390.12 "," 2,568.90 "," 2,853.27 "," 2,853.27 "," 2,615.51 "
Operating Profit, -   , 310.85 , 332.39 , 303.37 , 344.14 , 301.62 , 245.44 , 248.17 , 280.30 , 262.99 , 351.09 , 351.09 , 288.56 
Other Income, -   , 50.18 , 8.26 , 83.84 , 19.88 , 37.80 , 58.93 , 74.34 , 83.07 , 69.33 , 61.52 , -   , -   
Depreciation, -   , 83.99 , 77.14 , 91.29 , 92.55 , 98.31 , 101.90 , 111.31 , 110.68 , 108.58 , 72.84 , 72.84 , 72.84 
Interest, -   , 13.64 , 19.85 , 15.96 , 1.87 , 0.30 , 0.20 , 9.04 , 2.80 , 3.38 , 4.24 , 4.24 , 4.24 
Profit before tax, -   , 263.45 , 243.73 , 280.71 , 270.85 , 243.44 , 205.43 , 204.98 , 252.30 , 222.48 , 335.53 , 274.01 , 211.48 
Tax, -   , 99.44 , 70.00 , 88.91 , 72.01 , 64.99 , 62.29 , 39.67 , 78.68 , 72.37 , 110.56 ,33%,33%
Net profit, -   , 164.01 , 173.73 , 191.80 , 198.84 , 178.45 , 143.14 , 165.31 , 173.62 , 150.11 , 224.97 , 183.72 , 141.79 
EPS, -   , 11.26 , 11.93 , 13.17 , 13.75 , 12.34 , 9.90 , 11.43 , 12.01 , 10.38 , 15.56 , 12.71 , 9.81 
Price to earning,  ,  , 12.68 , 11.31 , 12.68 , 16.11 , 27.64 , 20.28 , 32.76 , 32.78 , 12.80 , 24.65 , 12.80 
Price, -   , -   , 151.31 , 149.00 , 174.34 , 198.73 , 273.54 , 231.77 , 393.29 , 340.30 , 199.15 , 313.25 , 125.52 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,35.52%,33.53%,30.38%,36.36%,40.52%,50.51%,43.74%,41.64%,48.16%,,,
OPM,0.00%,14.01%,13.72%,13.04%,14.60%,13.01%,9.79%,10.08%,10.50%,9.29%,10.96%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,2.25%,3.74%,4.14%,13.15%,13.15%,2.25%
,,,,,,OPM,11.89%,11.36%,10.46%,9.94%,10.96%,10.96%,9.94%
,,,,,,Price to Earning, 19.89 , 20.79 , 23.73 , 24.65 , 12.80 , 24.65 , 12.80 
