LYKA LABS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-08,Sep-09,Sep-10,Mar-12,Mar-13,Jun-14,Jun-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 93.31 , 152.07 , 118.70 , 139.81 , 94.52 , 86.57 , 90.49 , 57.27 , 78.01 , 41.68 , 41.19 , 41.19 , 32.30 
Expenses, 82.72 , 143.99 , 104.59 , 131.69 , 82.32 , 103.61 , 78.61 , 50.58 , 56.25 , 42.19 , 40.14 , 34.57 , 31.48 
Operating Profit, 10.59 , 8.08 , 14.11 , 8.12 , 12.20 , (17.04), 11.88 , 6.69 , 21.76 , (0.51), 1.05 , 6.62 , 0.82 
Other Income, 1.25 , 7.88 , 2.16 , 14.18 , 4.35 , 39.17 , 11.68 , 12.21 , (0.25), 3.36 , 2.03 , -   , -   
Depreciation, 1.29 , 3.69 , 3.40 , 5.46 , 3.30 , 5.43 , 3.83 , 2.64 , 5.53 , 6.31 , 5.27 , 5.27 , 5.27 
Interest, 7.14 , 15.89 , 11.12 , 22.56 , 16.04 , 23.97 , 18.35 , 11.44 , 16.54 , 7.76 , 5.74 , 5.74 , 5.74 
Profit before tax, 3.41 , (3.62), 1.75 , (5.72), (2.80), (7.27), 1.37 , 4.82 , (0.56), (11.22), (7.93), (4.39), (10.19)
Tax, 0.33 , 2.83 , (0.06), -   , -   , -   , -   , -   , (0.37), (0.38), (8.84),0%,0%
Net profit, 3.08 , (6.45), 1.81 , (5.71), (2.80), (7.27), 1.37 , 4.82 , (0.19), (10.84), 0.92 , (4.39), (10.19)
EPS, 1.47 , (2.99), 0.84 , (2.65), (1.30), (3.37), 0.63 , 2.19 , (0.09), (3.85), 0.33 , (1.56), (3.62)
Price to earning, 30.56 , (9.18), 40.04 , (3.98), (7.15), (5.08), 112.69 , 37.95 , (624.77), (12.52), 79.99 , 79.99 , 58.97 
Price, 44.97 , 27.44 , 33.58 , 10.54 , 9.28 , 17.12 , 71.54 , 83.00 , 53.86 , 48.24 , 26.15 , (124.72), (213.46)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,11.35%,5.31%,11.89%,5.81%,12.91%,0.00%,13.13%,11.68%,27.89%,0.00%,2.55%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-8.57%,-13.89%,-15.11%,-22.77%,-1.18%,-1.18%,-22.77%
,,,,,,OPM,9.81%,10.31%,11.39%,16.08%,2.55%,16.08%,2.55%
,,,,,,Price to Earning, 60.25 , 76.88 , 76.88 , 58.97 , 79.99 , 79.99 , 58.97 
