HINDUSTAN AERONAUTICS LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-12,Mar-13,Mar-16,Mar-17,Mar-18
Equity Share Capital, -   , -   , -   , -   , -   , 120.50 , 120.50 , 361.50 , 361.50 , 334.39 
Reserves, -   , -   , -   , -   , -   ," 11,218.10 "," 13,257.69 "," 10,657.60 "," 12,175.13 "," 11,698.99 "
Borrowings, -   , -   , -   , -   , -   , 5.30 , 4.79 , 79.80 ," 1,022.03 ", 904.52 
Other Liabilities, -   , -   , -   , -   , -   ," 43,961.25 "," 44,145.76 "," 45,419.70 "," 38,148.85 "," 36,393.28 "
Total, -   , -   , -   , -   , -   ," 55,305.15 "," 57,528.74 "," 56,518.60 "," 51,707.51 "," 49,331.18 "
,,,,,,,,,,
Net Block, -   , -   , -   , -   , -   ," 1,938.28 "," 2,008.47 "," 6,925.20 "," 7,349.56 "," 7,566.07 "
Capital Work in Progress, -   , -   , -   , -   , -   , 69.98 , 102.66 ," 1,025.40 "," 1,389.40 "," 1,457.82 "
Investments, -   , -   , -   , -   , -   , 527.45 , 707.35 , 886.40 , 980.74 , 989.37 
Other Assets, -   , -   , -   , -   , -   ," 52,769.44 "," 54,710.26 "," 47,681.60 "," 41,987.81 "," 39,317.92 "
Total, -   , -   , -   , -   , -   ," 55,305.15 "," 57,528.74 "," 56,518.60 "," 51,707.51 "," 49,331.18 "
,,,,,,,,,,
Working Capital, -   , -   , -   , -   , -   ," 8,808.19 "," 10,564.50 "," 2,261.90 "," 3,838.96 "," 2,924.64 "
Debtors, -   , -   , -   , -   , -   ," 3,906.23 "," 5,491.17 "," 4,836.90 "," 4,220.16 "," 7,741.55 "
Inventory, -   , -   , -   , -   , -   ," 16,088.83 "," 17,862.71 "," 23,997.80 "," 21,538.76 "," 19,518.73 "
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , 100.33 , 139.89 , 105.35 , 85.81 , 152.58 
Inventory Turnover, -   , -   , -   , -   , -   , 0.88 , 0.80 , 0.70 , 0.83 , 0.95 
,,,,,,,,,,
Return on Equity,,,,,,22%,22%,18%,21%,17%
Return on Capital Emp,,,,,,59%,28%,26%,29%,25%
,,,,,,,,,,
