GULF OIL LUBRICANTS INDIA LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Mar-09,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , 967.49 ," 1,011.35 "," 1,086.79 "," 1,332.26 "," 1,705.80 "," 1,705.80 "," 1,524.22 "
Expenses, -   , -   , 0.01 , -   , -   , 0.01 , 837.99 , 852.18 , 908.70 ," 1,096.54 "," 1,422.76 "," 1,420.88 "," 1,280.76 "
Operating Profit, -   , -   , (0.01), -   , -   , (0.01), 129.50 , 159.17 , 178.09 , 235.72 , 283.04 , 284.92 , 243.47 
Other Income, -   , -   , -   , -   , -   , -   , 9.12 , 17.92 , 20.06 , 26.10 , 29.55 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , 4.82 , 6.04 , 7.25 , 10.43 , 22.36 , 22.36 , 22.36 
Interest, -   , -   , -   , -   , -   , -   , 17.75 , 17.79 , 9.82 , 8.53 , 15.15 , 15.15 , 15.15 
Profit before tax, -   , -   , (0.01), -   , -   , (0.01), 116.04 , 153.26 , 181.08 , 242.86 , 275.08 , 247.41 , 205.96 
Tax, -   , -   , -   , -   , -   , -   , 38.63 , 52.95 , 63.52 , 84.30 , 97.28 ,35%,35%
Net profit, -   , -   , (0.01), -   , -   , (0.01), 77.41 , 100.31 , 117.56 , 158.56 , 177.78 , 159.92 , 133.12 
EPS, -   , -   , (0.40), -   , -   , (0.40), 15.62 , 20.24 , 23.69 , 31.90 , 35.70 , 32.11 , 26.73 
Price to earning,  ,  ,  ,  ,  ,  , 30.51 , 26.22 , 31.21 , 28.52 , 24.76 , 27.68 , 24.76 
Price, -   , -   , -   , -   , -   , -   , 476.36 , 530.61 , 739.25 , 910.01 , 883.75 , 888.77 , 661.75 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,35.20%,34.58%,35.90%,32.91%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,13.39%,15.74%,16.39%,17.69%,16.59%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,11.25%,28.04%,28.04%,11.25%
,,,,,,OPM,15.97%,15.97%,15.97%,16.70%,16.59%,16.70%,15.97%
,,,,,,Price to Earning, 28.24 , 28.24 , 28.24 , 27.68 , 24.76 , 27.68 , 24.76 
