RAJDARSHAN INDUSTRIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 3.11 , 3.11 , 3.11 , 3.11 , 3.11 , 3.11 , 3.11 , 3.11 , 3.11 , 3.11 
Reserves, 14.32 , 14.50 , 14.38 , 14.48 , 14.94 , 15.43 , 15.86 , 16.04 , 18.87 , 19.16 
Borrowings, 0.51 , 0.82 , 0.10 , 0.24 , 0.71 , 0.43 , 0.13 , 0.01 , -   , -   
Other Liabilities, 0.29 , 0.35 , 0.55 , 0.14 , 0.14 , 0.34 , 0.31 , 0.14 , 0.12 , 0.10 
Total, 18.23 , 18.78 , 18.14 , 17.97 , 18.90 , 19.31 , 19.41 , 19.30 , 22.10 , 22.37 
,,,,,,,,,,
Net Block, 2.08 , 2.53 , 2.06 , 1.83 , 2.14 , 1.85 , 1.56 , 1.31 , 0.86 , 0.69 
Capital Work in Progress, 3.72 , 3.67 , 3.92 , 3.92 , 2.92 , 2.87 , 2.87 , 2.87 , -   , -   
Investments, 1.94 , 1.99 , 2.01 , 1.97 , 2.98 , 2.98 , 2.96 , 2.46 , 5.55 , 5.82 
Other Assets, 10.49 , 10.59 , 10.15 , 10.25 , 10.86 , 11.61 , 12.02 , 12.66 , 15.69 , 15.86 
Total, 18.23 , 18.78 , 18.14 , 17.97 , 18.90 , 19.31 , 19.41 , 19.30 , 22.10 , 22.37 
,,,,,,,,,,
Working Capital, 10.20 , 10.24 , 9.60 , 10.11 , 10.72 , 11.27 , 11.71 , 12.52 , 15.57 , 15.76 
Debtors, 5.52 , 5.42 , 5.41 , 5.19 , 5.10 , 5.41 , 1.42 , 0.54 , 0.22 , 0.39 
Inventory, 0.12 , 0.12 , 0.12 , 0.12 , 0.12 , 0.12 , 0.12 , 0.12 , 0.12 , -   
,,,,,,,,,,
Debtor Days," 1,054.87 ", 920.14 ," 1,579.72 "," 1,040.85 ", 812.88 , 869.89 , 286.35 , 155.20 , 65.82 , 85.24 
Inventory Turnover, 15.92 , 17.92 , 10.42 , 15.17 , 19.08 , 18.92 , 15.08 , 10.58 , 10.17 , -   
,,,,,,,,,,
Return on Equity,0%,1%,-1%,1%,3%,3%,2%,1%,1%,3%
Return on Capital Emp,,2%,-1%,1%,4%,4%,3%,1%,2%,4%
,,,,,,,,,,
