ADANI GAS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , -   ," 1,128.67 "," 1,087.00 "," 1,301.31 "," 1,718.96 "," 1,718.96 "," 1,853.00 "
Expenses, -   , -   , -   , -   , -   , -   , -   , 920.96 , 808.63 , 935.77 ," 1,264.32 "," 1,264.32 "," 1,404.31 "
Operating Profit, -   , -   , -   , -   , -   , -   , -   , 207.71 , 278.37 , 365.54 , 454.64 , 454.64 , 448.70 
Other Income, -   , -   , -   , -   , -   , -   , -   , 25.88 , (21.85), 7.99 , 59.04 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , -   , 52.47 , 56.17 , 61.01 , 67.31 , 67.31 , 67.31 
Interest, -   , -   , -   , -   , -   , -   , -   , 42.67 , 44.27 , 45.22 , 89.85 , 89.85 , 89.85 
Profit before tax, -   , -   , -   , -   , -   , -   , -   , 138.47 , 156.09 , 267.30 , 356.52 , 297.48 , 291.54 
Tax, -   , -   , -   , -   , -   , -   , -   , 56.98 , 54.90 , 94.39 , 127.81 ,36%,36%
Net profit, -   , -   , -   , -   , -   , -   , -   , 81.48 , 101.19 , 172.90 , 228.71 , 190.84 , 187.02 
EPS, -   , -   , -   , -   , -   , -   , -   , 0.32 , 0.39 , 0.67 , 2.08 , 1.74 , 1.70 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 68.89 , 68.89 , 68.89 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 143.25 , 119.53 , 117.14 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,53.57%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,18.40%,25.61%,28.09%,26.45%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,,32.09%,32.09%,32.09%
,,,,,,OPM,24.21%,24.21%,24.21%,24.21%,26.45%,26.45%,24.21%
,,,,,,Price to Earning, 68.89 , 68.89 , 68.89 , 68.89 , 68.89 , 68.89 , 68.89 
