MANGALORE CHEMICALS & FERTILIZERS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 2,469.63 "," 2,075.09 "," 2,520.46 "," 3,707.18 "," 2,779.59 "," 3,310.26 "," 2,576.87 "," 2,969.09 "," 2,479.32 "," 2,688.93 "," 3,073.64 "," 3,073.64 "," 2,668.61 "
Expenses," 2,351.87 "," 1,948.33 "," 2,364.76 "," 3,511.40 "," 2,604.81 "," 3,089.71 "," 2,413.44 "," 2,856.91 "," 2,305.54 "," 2,493.38 "," 2,875.40 "," 2,875.40 "," 2,510.70 "
Operating Profit, 117.76 , 126.76 , 155.70 , 195.78 , 174.78 , 220.55 , 163.43 , 112.18 , 173.78 , 195.55 , 198.24 , 198.24 , 157.91 
Other Income, (21.54), (0.98), 3.37 , 12.95 , 10.45 , 4.20 , 9.89 , (213.21), 7.89 , 6.91 , 12.03 , -   , -   
Depreciation, 16.96 , 18.37 , 28.88 , 29.10 , 29.01 , 28.76 , 28.66 , 32.32 , 35.27 , 36.99 , 38.79 , 38.79 , 38.79 
Interest, 36.00 , 23.44 , 18.59 , 77.16 , 86.97 , 102.45 , 126.38 , 114.74 , 116.29 , 90.42 , 121.35 , 121.35 , 121.35 
Profit before tax, 43.26 , 84.53 , 111.60 , 102.47 , 69.24 , 93.55 , 18.29 , (248.08), 30.12 , 75.05 , 50.13 , 38.10 , (2.23)
Tax, 15.09 , 28.04 , 34.06 , 33.37 , 2.67 , 22.62 , (19.25), (7.96), 10.70 , 14.46 , 17.26 ,34%,34%
Net profit, 28.17 , 56.49 , 77.54 , 69.10 , 66.57 , 70.93 , 37.54 , (240.13), 19.41 , 60.58 , 32.88 , 24.98 , (1.46)
EPS, 2.35 , 4.71 , 6.46 , 5.76 , 5.55 , 5.91 , 3.13 , (20.01), 1.62 , 5.05 , 2.77 , 2.11 , (0.12)
Price to earning, 6.26 , 5.57 , 5.23 , 6.80 , 7.36 , 10.64 , 27.98 , (2.18), 39.73 , 12.67 , 15.41 , 22.60 , 13.76 
Price, 14.70 , 26.20 , 33.80 , 39.15 , 40.81 , 62.91 , 87.53 , 43.61 , 64.26 , 63.95 , 42.75 , 47.64 , (1.70)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,29.46%,20.99%,18.35%,20.59%,21.38%,20.06%,18.94%,0.00%,30.55%,19.58%,,,
OPM,4.77%,6.11%,6.18%,5.28%,6.29%,6.66%,6.34%,3.78%,7.01%,7.27%,6.45%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,0.95%,0.93%,-0.66%,1.43%,14.31%,14.31%,-0.66%
,,,,,,OPM,5.93%,6.03%,6.17%,5.92%,6.45%,6.45%,5.92%
,,,,,,Price to Earning, 13.76 , 17.23 , 21.29 , 22.60 , 15.41 , 22.60 , 13.76 
