GATI LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jun-09,Jun-10,Jun-11,Jun-12,Jun-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 16.98 , 17.03 , 17.20 , 17.32 , 17.32 , 17.45 , 17.50 , 17.55 , 17.64 , 21.67 
Reserves, 260.76 , 266.98 , 278.05 , 328.08 , 824.18 , 622.54 , 602.56 , 605.25 , 627.71 , 732.34 
Borrowings, 470.11 , 453.72 , 457.32 , 167.26 , 189.70 , 214.45 , 277.79 , 290.69 , 329.34 , 143.13 
Other Liabilities, 65.57 , 109.48 , 183.16 , 76.67 , 82.81 , 91.56 , 105.00 , 135.63 , 67.84 , 107.34 
Total, 813.42 , 847.21 , 935.73 , 589.33 ," 1,114.01 ", 946.00 ," 1,002.85 "," 1,049.12 "," 1,042.53 "," 1,004.48 "
,,,,,,,,,,
Net Block, 433.07 , 407.20 , 390.82 , 70.96 , 68.94 , 68.02 , 127.67 , 127.95 , 283.39 , 286.18 
Capital Work in Progress, 35.98 , 35.53 , 4.62 , 15.65 , 24.01 , 37.55 , 1.58 , 3.37 , 5.03 , 0.08 
Investments, 65.78 , 70.63 , 77.37 , 257.99 , 744.63 , 643.69 , 658.32 , 658.32 , 563.71 , 571.78 
Other Assets, 278.59 , 333.85 , 462.92 , 244.73 , 276.43 , 196.74 , 215.28 , 259.48 , 190.40 , 146.44 
Total, 813.42 , 847.21 , 935.73 , 589.33 ," 1,114.01 ", 946.00 ," 1,002.85 "," 1,049.12 "," 1,042.53 "," 1,004.48 "
,,,,,,,,,,
Working Capital, 213.02 , 224.37 , 279.76 , 168.06 , 193.62 , 105.18 , 110.28 , 123.85 , 122.56 , 39.10 
Debtors, 107.63 , 133.02 , 161.95 , 25.73 , 28.11 , 37.91 , 62.63 , 73.77 , 45.90 , 37.37 
Inventory, 4.54 , 10.24 , 10.08 , -   , 1.21 , 1.57 , 0.91 , 1.31 , 1.47 , 2.13 
,,,,,,,,,,
Debtor Days, 63.56 , 65.20 , 65.33 , 13.33 , 63.61 , 54.88 , 51.57 , 55.50 , 33.64 , 30.58 
Inventory Turnover, 136.14 , 72.73 , 89.76 , -   , 133.30 , 160.60 , 487.09 , 370.34 , 338.84 , 209.44 
,,,,,,,,,,
Return on Equity,-5%,5%,5%,21%,3%,3%,4%,3%,3%,5%
Return on Capital Emp,,9%,10%,23%,3%,2%,5%,4%,5%,7%
,,,,,,,,,,
