ESCORTS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Sep-08,Sep-09,Sep-10,Sep-11,Sep-12,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 1,992.30 "," 2,157.77 "," 2,745.73 "," 3,238.16 "," 3,893.88 "," 6,291.51 "," 3,985.83 "," 3,367.21 "," 4,093.16 "," 4,995.12 "," 6,196.37 "," 6,196.37 "," 5,311.58 "
Expenses," 1,911.38 "," 1,994.21 "," 2,558.94 "," 3,090.11 "," 3,711.72 "," 5,906.63 "," 3,913.74 "," 3,190.48 "," 3,821.40 "," 4,444.66 "," 5,463.09 "," 5,463.09 "," 4,993.91 "
Operating Profit, 80.92 , 163.56 , 186.79 , 148.05 , 182.16 , 384.88 , 72.09 , 176.73 , 271.76 , 550.46 , 733.28 , 733.28 , 317.67 
Other Income, 56.95 , 59.86 , 91.75 , 46.31 , 50.66 , 81.41 , 119.33 , 26.56 , 58.46 , 59.41 , 92.99 , -   , -   
Depreciation, 42.87 , 37.84 , 38.54 , 37.97 , 48.43 , 83.22 , 66.06 , 57.50 , 63.07 , 72.48 , 85.37 , 85.37 , 85.37 
Interest, 68.86 , 74.52 , 51.98 , 55.77 , 96.44 , 110.67 , 57.11 , 49.54 , 31.11 , 28.57 , 18.48 , 18.48 , 18.48 
Profit before tax, 26.14 , 111.06 , 188.02 , 100.62 , 87.95 , 272.40 , 68.25 , 96.25 , 236.04 , 508.82 , 722.42 , 629.43 , 213.82 
Tax, 14.27 , 21.33 , 50.47 , (19.47), 18.35 , 27.51 , (6.46), 12.50 , 75.60 , 164.10 , 237.52 ,33%,33%
Net profit, 11.87 , 89.73 , 137.55 , 120.09 , 69.60 , 244.89 , 74.71 , 83.75 , 160.44 , 344.72 , 484.90 , 422.48 , 143.52 
EPS, 1.31 , 9.89 , 13.02 , 11.37 , 5.84 , 19.98 , 6.26 , 6.83 , 13.09 , 28.12 , 39.56 , 34.47 , 11.71 
Price to earning, 34.27 , 11.44 , 17.02 , 6.77 , 11.49 , 6.29 , 20.86 , 23.39 , 41.57 , 33.21 , 16.13 , 28.57 , 16.13 
Price, 44.85 , 113.20 , 221.71 , 76.94 , 67.06 , 125.65 , 130.62 , 159.78 , 544.13 , 933.99 , 638.10 , 984.86 , 188.86 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,10.11%,11.15%,12.78%,20.56%,8.77%,19.15%,17.56%,11.46%,7.11%,,,
OPM,4.06%,7.58%,6.80%,4.57%,4.68%,6.12%,1.81%,5.25%,6.64%,11.02%,11.83%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,10.75%,8.92%,5.11%,7.81%,24.05%,24.05%,5.11%
,,,,,,OPM,6.03%,5.98%,6.40%,8.02%,11.83%,11.83%,5.98%
,,,,,,Price to Earning, 20.22 , 19.96 , 23.57 , 28.57 , 16.13 , 28.57 , 16.13 
