CAPLIN POINT LABORATORIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Jun-09,Jun-10,Jun-11,Jun-12,Jun-13,Jun-14,Jun-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 12.17 , 0.27 , 12.52 , 23.89 , 32.92 , 59.77 , 49.53 , 44.37 , 55.49 , 20.63 
Cash from Investing Activity, (3.55), (4.72), (5.22), (16.45), (45.22), (44.08), (23.76), (5.98), (37.07), (57.74)
Cash from Financing Activity, (2.04), 2.18 , (0.37), (1.40), (1.86), (5.97), (8.62), (13.95), (6.74), (11.60)
Net Cash Flow, 6.58 , (2.27), 6.93 , 6.04 , (14.16), 9.72 , 17.15 , 24.45 , 11.67 , (48.71)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
