BHARAT WIRE ROPES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , 90.13 , 76.97 , 77.02 , 73.41 , 82.24 , 76.72 , 60.70 , 64.77 , 164.90 , 240.63 , 419.82 , 192.57 
Expenses, -   , 85.25 , 70.76 , 68.09 , 65.11 , 73.32 , 67.48 , 52.47 , 58.68 , 147.32 , 221.95 , 373.70 , 177.62 
Operating Profit, -   , 4.88 , 6.21 , 8.93 , 8.30 , 8.92 , 9.24 , 8.23 , 6.09 , 17.58 , 18.68 , 46.12 , 14.95 
Other Income, -   , 1.84 , 0.02 , (0.11), 0.94 , 0.06 , (2.00), -   , 3.25 , 20.25 , 0.92 , -   , -   
Depreciation, -   , 1.12 , 1.11 , 1.53 , 2.18 , 2.40 , 2.45 , 2.29 , 3.89 , 12.35 , 21.03 , 21.03 , 21.03 
Interest, -   , 1.52 , 2.52 , 4.28 , 4.90 , 4.14 , 3.71 , 3.72 , 2.54 , 25.18 , 72.63 , 72.63 , 72.63 
Profit before tax, -   , 4.07 , 2.62 , 3.01 , 2.17 , 2.43 , 1.08 , 2.22 , 2.92 , 0.30 , (74.06), (47.54), (78.71)
Tax, -   , 1.97 , 0.84 , 0.87 , 0.69 , 0.92 , 0.76 , 0.88 , 0.48 , 0.06 , (29.49),0%,0%
Net profit, -   , 2.11 , 1.77 , 2.14 , 1.48 , 1.50 , 0.33 , 1.34 , 2.44 , 0.25 , (44.56), (47.54), (78.71)
EPS, -   , 1.68 , 1.41 , 0.73 , 0.50 , 0.51 , 0.11 , 0.30 , 0.54 , 0.06 , (9.91), (10.58), (17.51)
Price to earning,  ,  ,  ,  ,  ,  ,  , 143.73 , 180.57 ," 2,180.74 ", -   , 835.01 , -   
Price, -   , -   , -   , -   , -   , -   , -   , 42.84 , 98.01 , 121.28 , 42.30 ," (8,830.36)", -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,5.41%,8.07%,11.59%,11.31%,10.85%,12.04%,13.56%,9.40%,10.66%,7.76%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,11.50%,17.57%,29.05%,154.59%,154.59%,11.50%
,,,,,,OPM,10.22%,11.22%,11.14%,10.99%,7.76%,10.99%,7.76%
,,,,,,Price to Earning, 835.01 , 835.01 , 835.01 , 835.01 , -   , 835.01 , -   
