IND-SWIFT LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Jun-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 586.80 , 681.18 , 876.33 ," 1,590.43 ", 393.12 , 569.80 , 417.17 , 307.75 , 263.05 , 269.81 , 285.23 , 285.23 , 225.63 
Expenses, 504.60 , 595.71 , 764.87 ," 1,493.76 ", 410.93 , 601.98 , 487.08 , 464.70 , 328.46 , 271.98 , 270.41 , 270.41 , 225.63 
Operating Profit, 82.20 , 85.47 , 111.46 , 96.67 , (17.81), (32.18), (69.91), (156.95), (65.41), (2.17), 14.82 , 14.82 , -   
Other Income, 4.57 , 7.99 , 20.50 , 23.70 , 1.74 , 10.86 , 1.84 , 12.51 , (245.93), (9.52), (1.04), -   , -   
Depreciation, 9.48 , 12.15 , 15.51 , 23.25 , 18.48 , 26.26 , 39.36 , 36.35 , 35.73 , 34.63 , 34.12 , 34.12 , 34.12 
Interest, 36.81 , 42.99 , 71.64 , 120.97 , 86.41 , 76.76 , 39.93 , 18.97 , 16.32 , 7.05 , (1.55), (1.55), (1.55)
Profit before tax, 40.48 , 38.32 , 44.81 , (23.85), (120.94), (124.33), (147.35), (199.76), (363.37), (53.38), (18.79), (17.75), (32.57)
Tax, 2.74 , 1.61 , 1.36 , (2.84), (9.65), (8.77), (2.23), 0.17 , 0.89 , 0.75 , 0.75 ,0%,0%
Net profit, 37.74 , 36.71 , 43.45 , (21.01), (111.29), (115.56), (145.13), (199.94), (364.27), (54.13), (19.54), (17.75), (32.57)
EPS, 10.15 , 9.87 , 10.30 , (4.55), (24.10), (22.95), (28.83), (39.71), (67.25), (9.99), (3.61), (3.28), (6.01)
Price to earning, 1.49 , 3.10 , 3.27 , (4.35), (0.33), (0.29), (0.23), (0.13), (0.13), (0.81), -   , -   , -   
Price, 15.12 , 30.61 , 33.68 , 19.80 , 8.03 , 6.57 , 6.50 , 5.10 , 8.60 , 8.14 , 5.10 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,3.95%,4.06%,3.89%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,14.01%,12.55%,12.72%,6.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.20%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-8.27%,-15.49%,-7.25%,-13.52%,5.72%,5.72%,-15.49%
,,,,,,OPM,6.31%,2.54%,0.00%,0.00%,5.20%,5.20%,0.00%
,,,,,,Price to Earning, 2.62 ,  ,  ,  , -   , -   , -   
