ASIAN HOTELS (EAST) LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jun-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , 41.23 , 82.61 , 85.44 , 90.28 , 92.76 , 99.59 , 98.09 , 98.32 , 102.14 , 103.44 , 106.11 , 103.02 
Expenses, 0.69 , 23.50 , 57.81 , 59.14 , 68.54 , 70.29 , 76.85 , 75.39 , 82.30 , 83.51 , 84.34 , 85.73 , 83.99 
Operating Profit, (0.69), 17.73 , 24.80 , 26.30 , 21.74 , 22.47 , 22.74 , 22.70 , 16.02 , 18.63 , 19.10 , 20.38 , 19.02 
Other Income, -   , 4.08 , 18.23 , 16.58 , 23.75 , 16.15 , 5.69 , 15.07 , 7.81 , 5.58 , 10.27 , -   , -   
Depreciation, -   , 2.82 , 6.79 , 6.85 , 6.54 , 5.34 , 7.12 , 6.85 , 6.38 , 5.44 , 4.93 , 4.93 , 4.93 
Interest, -   , 0.01 , 0.03 , 0.03 , 0.12 , 0.04 , 0.38 , 15.69 , 0.56 , 0.03 , -   , -   , -   
Profit before tax, (0.69), 18.98 , 36.21 , 36.00 , 38.82 , 33.24 , 20.92 , 15.24 , 16.89 , 18.74 , 24.44 , 15.45 , 14.09 
Tax, -   , 4.70 , 6.04 , 7.96 , 7.09 , 5.88 , 5.88 , 1.01 , 3.93 , 3.99 , 6.65 ,27%,27%
Net profit, (0.69), 14.28 , 30.17 , 28.04 , 31.73 , 27.36 , 15.03 , 14.23 , 12.96 , 14.74 , 17.79 , 11.25 , 10.26 
EPS, (138.00), 12.52 , 26.46 , 24.51 , 27.73 , 23.91 , 13.14 , 12.44 , 11.24 , 12.79 , 15.43 , 9.76 , 8.90 
Price to earning,  ,  , 11.60 , 11.56 , 6.35 , 6.28 , 14.57 , 11.69 , 23.06 , 25.41 , 13.95 , 18.53 , 13.83 
Price, -   , -   , 306.83 , 283.35 , 176.14 , 150.08 , 191.47 , 145.45 , 259.22 , 324.95 , 215.30 , 180.80 , 123.06 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,23.95%,17.00%,18.37%,16.23%,12.54%,15.24%,16.09%,17.82%,19.54%,,,
OPM,0.00%,43.00%,30.02%,30.78%,24.08%,24.22%,22.83%,23.14%,16.29%,18.24%,18.46%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,3.08%,2.50%,0.85%,3.89%,3.89%,0.85%
,,,,,,OPM,24.43%,22.59%,20.89%,19.21%,18.46%,19.21%,18.46%
,,,,,,Price to Earning, 13.83 , 14.11 , 15.83 , 18.53 , 13.95 , 18.53 , 13.83 
