FEDERAL-MOGUL GOETZE (INDIA) LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-08,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity, 96.85 , 113.82 , 73.04 , 81.73 , 79.36 , 95.94 , 107.53 , 188.27 , 134.28 , 129.55 
Cash from Investing Activity, (67.18), (35.13), (45.13), (124.85), (94.24), (80.35), (88.35), (103.87), (56.94), (75.76)
Cash from Financing Activity, (29.60), (77.98), (27.16), 42.98 , 12.98 , (13.91), (15.18), (52.67), (100.26), (58.69)
Net Cash Flow, 0.07 , 0.71 , 0.75 , (0.14), (1.90), 1.68 , 4.00 , 31.73 , (22.92), (4.90)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
