FINE ORGANIC INDUSTRIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , -   , -   , 776.86 , 852.04 ," 1,031.22 "," 1,031.22 "," 1,068.90 "
Expenses, -   , -   , -   , -   , -   , -   , -   , -   , 630.17 , 688.06 , 811.49 , 811.49 , 865.04 
Operating Profit, -   , -   , -   , -   , -   , -   , -   , -   , 146.69 , 163.98 , 219.73 , 219.73 , 203.86 
Other Income, -   , -   , -   , -   , -   , -   , -   , -   , 4.28 , 16.38 , 26.71 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , -   , -   , 23.71 , 20.04 , 18.28 , 18.28 , 18.28 
Interest, -   , -   , -   , -   , -   , -   , -   , -   , 4.36 , 3.12 , 2.34 , 2.34 , 2.34 
Profit before tax, -   , -   , -   , -   , -   , -   , -   , -   , 122.90 , 157.19 , 225.82 , 199.11 , 183.24 
Tax, -   , -   , -   , -   , -   , -   , -   , -   , 42.93 , 55.86 , 87.54 ,39%,39%
Net profit, -   , -   , -   , -   , -   , -   , -   , -   , 79.97 , 101.34 , 138.26 , 121.92 , 112.21 
EPS, -   , -   , -   , -   , -   , -   , -   , -   , 82.78 , 33.05 , 45.09 , 39.77 , 36.60 
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 33.24 , 33.24 , 33.24 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,498.90 "," 1,321.80 "," 1,216.48 "
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9.07%,21.18%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,18.88%,19.25%,21.31%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,,21.03%,21.03%,21.03%
,,,,,,OPM,19.07%,19.07%,19.07%,19.07%,21.31%,21.31%,19.07%
,,,,,,Price to Earning, 33.24 , 33.24 , 33.24 , 33.24 , 33.24 , 33.24 , 33.24 
