GARDEN SILK MILLS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales," 1,331.60 "," 2,514.90 "," 3,400.48 "," 3,506.50 "," 3,697.24 "," 3,038.69 "," 2,610.58 "," 2,347.98 "," 2,434.76 "," 3,033.40 "," 3,393.24 "," 3,779.23 "," 2,901.72 "
Expenses," 1,176.85 "," 2,282.65 "," 3,119.91 "," 3,405.68 "," 3,612.16 "," 2,986.66 "," 2,501.66 "," 2,255.00 "," 2,289.94 "," 2,872.14 "," 3,245.27 "," 3,586.28 "," 2,797.00 "
Operating Profit, 154.75 , 232.25 , 280.57 , 100.82 , 85.08 , 52.03 , 108.92 , 92.98 , 144.82 , 161.26 , 147.97 , 192.95 , 104.72 
Other Income, 15.56 , 20.59 , 16.49 , 21.23 , 13.27 , 14.65 , 7.70 , 9.84 , 9.96 , 5.36 , 20.24 , -   , -   
Depreciation, 44.84 , 72.56 , 76.52 , 86.14 , 93.54 , 92.37 , 76.13 , 66.81 , 64.47 , 66.25 , 67.82 , 67.82 , 67.82 
Interest, 55.48 , 87.19 , 99.65 , 153.96 , 155.68 , 158.22 , 183.24 , 177.25 , 173.69 , 189.35 , 202.07 , 202.07 , 202.07 
Profit before tax, 69.99 , 93.09 , 120.89 , (118.05), (150.87), (183.90), (142.75), (141.24), (83.39), (88.97), (101.68), (76.94), (165.17)
Tax, 20.41 , 29.89 , 33.02 , (39.17), (50.17), (39.45), -   , (0.64), -   , -   , -   ,0%,0%
Net profit, 49.58 , 63.20 , 87.87 , (78.88), (100.70), (144.45), (142.76), (140.61), (83.39), (88.97), (101.69), (76.94), (165.17)
EPS, 12.95 , 16.51 , 22.95 , (20.60), (26.30), (35.99), (33.92), (33.41), (19.82), (21.14), (24.17), (18.28), (39.25)
Price to earning, 3.21 , 4.50 , 4.75 , (2.83), (1.88), (1.09), (0.84), (0.70), (1.68), (1.67), -   , -   , -   
Price, 41.58 , 74.26 , 108.92 , 58.21 , 49.48 , 39.08 , 28.48 , 23.30 , 33.38 , 35.25 , 18.60 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,11.58%,10.90%,7.84%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,11.62%,9.23%,8.25%,2.88%,2.30%,1.71%,4.17%,3.96%,5.95%,5.32%,4.36%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,9.58%,-1.62%,-3.88%,5.13%,24.59%,24.59%,-3.88%
,,,,,,OPM,5.06%,3.61%,4.16%,5.11%,4.36%,5.11%,3.61%
,,,,,,Price to Earning, 4.15 ,  ,  ,  , -   , -   , -   
