KERNEX MICROSYSTEMS (INDIA) LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 12.50 , 12.50 , 12.50 , 12.50 , 12.50 , 12.50 , 12.50 , 12.50 , 12.50 , 12.50 
Reserves, 117.82 , 110.83 , 113.95 , 116.96 , 117.61 , 116.51 , 105.98 , 91.95 , 83.56 , 69.31 
Borrowings, 11.05 , 19.03 , 22.54 , 17.94 , 16.35 , 20.78 , 21.80 , 26.93 , 17.92 , 19.02 
Other Liabilities, 16.47 , 15.05 , 17.69 , 19.00 , 16.32 , 20.95 , 20.35 , 24.39 , 18.81 , 20.16 
Total, 157.84 , 157.41 , 166.68 , 166.40 , 162.78 , 170.74 , 160.63 , 155.77 , 132.79 , 120.99 
,,,,,,,,,,
Net Block, 27.90 , 27.42 , 26.46 , 27.89 , 60.48 , 57.62 , 52.78 , 49.68 , 55.45 , 53.54 
Capital Work in Progress, 47.61 , 50.59 , 44.80 , 43.81 , 9.74 , 9.74 , 9.74 , 9.74 , -   , -   
Investments, 1.18 , 1.18 , 1.18 , 1.18 , 1.18 , 1.18 , 1.18 , 1.18 , 1.18 , 1.18 
Other Assets, 81.15 , 78.22 , 94.24 , 93.52 , 91.38 , 102.20 , 96.93 , 95.17 , 76.16 , 66.27 
Total, 157.84 , 157.41 , 166.68 , 166.40 , 162.78 , 170.74 , 160.63 , 155.77 , 132.79 , 120.99 
,,,,,,,,,,
Working Capital, 64.68 , 63.17 , 76.55 , 74.52 , 75.06 , 81.25 , 76.58 , 70.78 , 57.35 , 46.11 
Debtors, 20.33 , 20.03 , 35.97 , 42.59 , 46.77 , 55.07 , 52.43 , 51.89 , 41.21 , 36.53 
Inventory, 17.06 , 20.70 , 20.74 , 16.66 , 15.70 , 21.48 , 26.07 , 24.81 , 10.22 , 10.02 
,,,,,,,,,,
Debtor Days, 360.22 ," 1,827.74 ", 309.21 , 363.89 , 627.61 , 710.52 , 945.03 ," 1,642.66 "," 1,222.90 "," 1,001.76 "
Inventory Turnover, 1.21 , 0.19 , 2.05 , 2.56 , 1.73 , 1.32 , 0.78 , 0.46 , 1.20 , 1.33 
,,,,,,,,,,
Return on Equity,2%,-6%,4%,3%,0%,-1%,-8%,-13%,-4%,-18%
Return on Capital Emp,,-6%,7%,7%,4%,1%,-4%,-7%,2%,-11%
,,,,,,,,,,
