AIRAN LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , 9.93 , 11.21 , 14.35 , 19.15 , 25.93 , 28.87 , 33.20 , -   , 39.88 , 33.20 
Expenses, -   , -   , -   , 8.67 , 9.51 , 12.13 , 16.14 , 21.37 , 24.28 , 26.24 , -   , 32.58 , 33.20 
Operating Profit, -   , -   , -   , 1.26 , 1.70 , 2.22 , 3.01 , 4.56 , 4.59 , 6.96 , -   , 7.30 , -   
Other Income, -   , -   , -   , 0.80 , 0.53 , 0.22 , 0.43 , 0.82 , 1.95 , 2.72 , -   , -   , -   
Depreciation, -   , -   , -   , 0.61 , 0.73 , 0.80 , 1.91 , 2.63 , 2.36 , 2.15 , -   , -   , -   
Interest, -   , -   , -   , 0.21 , 0.31 , 0.40 , 0.39 , 0.90 , 1.08 , 1.23 , -   , -   , -   
Profit before tax, -   , -   , -   , 1.25 , 1.18 , 1.25 , 1.15 , 1.84 , 3.11 , 6.30 , -   , 7.30 , -   
Tax, -   , -   , -   , 0.54 , 0.37 , 0.38 , 0.33 , 0.60 , 0.81 , 1.66 , -   ,0%,0%
Net profit, -   , -   , -   , 0.70 , 0.81 , 0.86 , 0.81 , 1.25 , 2.30 , 4.63 , -   , 7.30 , -   
EPS, -   , -   , -   , 0.30 , 0.35 , 0.37 , 0.35 , 0.54 , 0.37 , 0.74 , -   , 0.58 , -   
Price to earning,  ,  ,  ,  ,  ,  ,  ,  , 92.36 , 160.41 , -   , 126.38 , -   
Price, -   , -   , -   , -   , -   , -   , -   , -   , 33.98 , 118.81 , 32.45 , 73.81 , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,12.69%,15.17%,15.47%,15.72%,17.59%,15.90%,20.96%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,24.25%,20.13%,15.00%,20.13%,15.00%
,,,,,,OPM,17.04%,17.04%,17.56%,18.31%,0.00%,18.31%,0.00%
,,,,,,Price to Earning, 126.38 , 126.38 , 126.38 , 126.38 , -   , 126.38 , -   
