JIK INDUSTRIES LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Dec-08,Mar-10,Jun-11,Jun-12,Jun-13,Jun-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 0.54 , 20.43 , 49.86 , 26.95 , 8.41 , 1.22 , 0.75 , 0.48 , 1.22 , 0.33 , 0.27 , 0.27 , 0.19 
Expenses, 2.27 , 20.82 , 44.94 , 26.16 , 8.71 , 4.39 , 159.28 , 12.92 , 2.39 , 1.61 , 1.49 , 0.27 , 0.19 
Operating Profit, (1.73), (0.39), 4.92 , 0.79 , (0.30), (3.17), (158.53), (12.44), (1.17), (1.28), (1.22), -   , -   
Other Income, 31.35 , 3.99 , -   , 1.07 , (4.62), -   , (4.45), -   , -   , -   , 0.01 , -   , -   
Depreciation, 0.90 , 0.59 , 0.61 , 0.48 , 0.48 , 0.37 , 0.09 , 0.11 , 0.10 , -   , -   , -   , -   
Interest, 0.40 , 0.06 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Profit before tax, 28.33 , 2.95 , 4.31 , 1.40 , (5.38), (3.53), (163.06), (12.53), (1.27), (1.28), (1.21), -   , -   
Tax, 2.11 , 0.05 , (1.05), (0.06), -   , -   , -   , -   , -   , -   , -   ,0%,0%
Net profit, 26.22 , 2.90 , 5.36 , 1.46 , (5.38), (3.53), (163.06), (12.53), (1.27), (1.28), (1.21), -   , -   
EPS, 10.80 , 1.01 , 0.86 , 0.20 , (0.74), (0.49), (22.45), (1.72), (0.17), (0.18), (0.17), -   , -   
Price to earning, 0.99 , 16.27 , 8.66 , 22.63 , (1.20), (2.00), (0.04), (0.49), (4.18),  , -   , -   , -   
Price, 10.73 , 16.41 , 7.43 , 4.55 , 0.89 , 0.97 , 0.96 , 0.85 , 0.73 , -   , 0.55 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,9.87%,2.93%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-5.32%,-51.17%,-47.67%,-23.94%,-18.18%,-18.18%,-51.17%
,,,,,,OPM,5.18%,2.01%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,Price to Earning, 12.14 , 22.63 ,  ,  , -   , -   , -   
