ADHUNIK METALIKS LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Mar-08,Mar-09,Mar-10,Mar-11,Jun-12,Jun-13,Jun-14,Jun-15,Mar-16,Mar-17,Trailing,Best Case,Worst Case
Sales," 1,000.58 "," 1,166.96 "," 1,258.59 "," 1,430.41 "," 1,841.72 "," 1,635.57 "," 1,675.68 ", 591.82 , 458.74 , 658.45 , 257.69 , 945.10 , 589.50 
Expenses, 835.52 ," 1,006.34 "," 1,019.99 "," 1,142.72 "," 1,598.19 "," 1,386.27 "," 1,442.48 ", 872.10 , 541.15 , 860.72 , 329.90 , 945.10 , 589.50 
Operating Profit, 165.06 , 160.62 , 238.60 , 287.69 , 243.53 , 249.30 , 233.20 , (280.28), (82.41), (202.27), (72.21), -   , -   
Other Income, 11.13 , 34.78 , 36.95 , 49.00 , 125.64 , 67.32 , 67.01 , 12.16 , (43.57), (130.04), (185.99), -   , -   
Depreciation, 23.25 , 36.94 , 58.23 , 87.58 , 113.14 , 96.03 , 98.71 , 97.43 , 101.50 , 124.73 , 103.21 , 103.21 , 103.21 
Interest, 61.61 , 124.19 , 149.42 , 182.50 , 300.90 , 227.62 , 211.82 , 249.46 , 197.76 , 302.23 , 332.18 , 332.18 , 332.18 
Profit before tax, 91.33 , 34.27 , 67.90 , 66.61 , (44.88), (7.04), (10.34), (615.01), (425.24), (759.28), (693.59), (435.39), (435.39)
Tax, 10.87 , 4.12 , 13.99 , 9.75 , (44.37), (9.85), (10.65), (206.41), (25.30), 111.58 , -   ,0%,0%
Net profit, 80.46 , 30.15 , 53.91 , 56.86 , (0.52), 2.82 , 0.31 , (408.60), (399.94), (870.86), (693.59), (435.39), (435.39)
EPS, 8.82 , 3.30 , 4.37 , 4.60 , (0.04), 0.23 , 0.03 , (33.09), (32.38), (70.52), (56.16), (35.25), (35.25)
Price to earning, 16.76 , 11.17 , 29.20 , 19.90 , (795.71), 100.61 ," 1,968.48 ", (0.57), (0.36), (0.10), -   , -   , -   
Price, 147.82 , 36.92 , 127.44 , 91.61 , 33.50 , 22.97 , 49.41 , 18.83 , 11.55 , 7.11 , 2.25 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,13.61%,30.25%,28.64%,32.57%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,16.50%,13.76%,18.96%,20.11%,13.22%,15.24%,13.92%,0.00%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-4.54%,-8.84%,-18.59%,-26.76%,43.53%,43.53%,-26.76%
,,,,,,OPM,13.47%,12.22%,9.61%,0.00%,0.00%,0.00%,0.00%
,,,,,,Price to Earning, 357.69 , 696.33 ," 1,034.54 ",  , -   , -   , -   
