CORPORATION BANK,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 143.44 , 143.44 , 148.13 , 148.13 , 152.91 , 167.54 , 167.54 , 204.50 , 229.41 , 333.11 
Reserves," 4,753.07 "," 5,631.43 "," 6,989.68 "," 8,127.79 "," 9,412.78 "," 9,917.56 "," 10,316.94 "," 11,161.38 "," 12,482.53 "," 10,512.74 "
Borrowings," 78,793.81 "," 1,01,811.18 "," 1,32,712.88 "," 1,50,390.30 "," 1,78,904.30 "," 2,06,414.46 "," 2,09,760.72 "," 2,18,283.03 "," 2,27,027.79 "," 2,05,487.03 "
Other Liabilities," 3,232.00 "," 4,106.25 "," 3,691.58 "," 4,977.91 "," 5,121.75 "," 5,847.22 "," 6,234.43 "," 5,731.27 "," 8,654.93 "," 6,073.78 "
Total," 86,922.32 "," 1,11,692.30 "," 1,43,542.27 "," 1,63,644.13 "," 1,93,591.74 "," 2,22,346.78 "," 2,26,479.63 "," 2,35,380.18 "," 2,48,394.66 "," 2,22,406.66 "
,,,,,,,,,,
Net Block, 298.92 , 287.51 , 326.42 , 353.89 , 439.86 , 461.72 , 522.67 ," 1,275.10 "," 1,288.48 "," 1,228.08 "
Capital Work in Progress, -   , 5.18 , 2.55 , 2.09 , 3.34 , 3.55 , 3.71 , 2.03 , 1.53 , 1.13 
Investments," 24,937.77 "," 34,522.63 "," 43,452.74 "," 47,474.63 "," 58,164.49 "," 66,191.21 "," 53,297.98 "," 63,280.63 "," 64,072.98 "," 70,349.76 "
Other Assets," 61,685.63 "," 76,876.98 "," 99,760.56 "," 1,15,813.52 "," 1,34,984.05 "," 1,55,690.30 "," 1,72,655.27 "," 1,70,822.42 "," 1,83,031.67 "," 1,50,827.69 "
Total," 86,922.32 "," 1,11,692.30 "," 1,43,542.27 "," 1,63,644.13 "," 1,93,591.74 "," 2,22,346.78 "," 2,26,479.63 "," 2,35,380.18 "," 2,48,394.66 "," 2,22,406.66 "
,,,,,,,,,,
Working Capital," 58,453.63 "," 72,770.73 "," 96,068.98 "," 1,10,835.61 "," 1,29,862.30 "," 1,49,843.08 "," 1,66,420.84 "," 1,65,091.15 "," 1,74,376.74 "," 1,44,753.91 "
Debtors, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Debtor Days, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Inventory Turnover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,
Return on Equity,18%,20%,20%,18%,15%,6%,6%,-4%,4%,-37%
Return on Capital Emp,,7%,7%,8%,8%,7%,7%,6%,7%,4%
,,,,,,,,,,
