BF UTILITIES LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Sep-09,Sep-10,Sep-11,Sep-12,Sep-13,Sep-14,Sep-15,Mar-16,Mar-17,Mar-18
Equity Share Capital, 18.83 , 18.83 , 18.83 , 18.83 , 18.83 , 18.83 , 18.83 , 18.83 , 18.83 , 18.83 
Reserves, 40.75 , 37.30 , 35.03 , 48.09 , 52.98 , 54.27 , 59.58 , 58.57 , 66.13 , 82.08 
Borrowings, 108.82 , 105.01 , 114.70 , 104.06 , 96.76 , 106.72 , 75.39 , 81.89 , 62.33 , 46.41 
Other Liabilities, 72.25 , 52.66 , 51.48 , 52.44 , 52.99 , 55.44 , 56.43 , 49.33 , 69.27 , 62.09 
Total, 240.65 , 213.80 , 220.04 , 223.42 , 221.56 , 235.26 , 210.23 , 208.62 , 216.56 , 209.41 
,,,,,,,,,,
Net Block, 62.21 , 56.09 , 50.01 , 44.14 , 38.01 , 31.90 , 27.41 , 25.48 , 21.62 , 17.76 
Capital Work in Progress, -   , -   , -   , -   , -   , 2.87 , 7.44 , 7.82 , 11.19 , -   
Investments, 134.92 , 103.64 , 103.64 , 105.63 , 105.63 , 135.29 , 105.63 , 114.00 , 112.43 , 111.15 
Other Assets, 43.52 , 54.07 , 66.39 , 73.65 , 77.92 , 65.20 , 69.75 , 61.32 , 71.32 , 80.50 
Total, 240.65 , 213.80 , 220.04 , 223.42 , 221.56 , 235.26 , 210.23 , 208.62 , 216.56 , 209.41 
,,,,,,,,,,
Working Capital, (28.73), 1.41 , 14.91 , 21.21 , 24.93 , 9.76 , 13.32 , 11.99 , 2.05 , 18.41 
Debtors, 8.24 , -   , -   , 6.19 , 4.37 , 0.08 , 2.57 , 0.70 , 9.06 , 1.66 
Inventory, -   , -   , -   , -   , 0.07 , 0.07 , 0.06 , 0.08 , 0.28 , 0.16 
,,,,,,,,,,
Debtor Days, 170.98 , -   , -   , 62.07 , 57.11 , 1.24 , 49.19 , 49.04 , 155.62 , 40.80 
Inventory Turnover, -   , -   , -   , -   , 399.00 , 335.29 , 317.83 , 65.13 , 75.89 , 92.81 
,,,,,,,,,,
Return on Equity,1%,-6%,-4%,20%,7%,2%,7%,-1%,9%,16%
Return on Capital Emp,,-1%,5%,12%,6%,4%,6%,0%,9%,12%
,,,,,,,,,,
