JAIN IRRIGATION SYSTEMS LTD-DVR,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Jan-00,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 4,461.12 ", -   , -   
Expenses, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,859.98 ", -   , -   
Operating Profit, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 601.14 , -   , -   
Other Income, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 23.93 , -   , -   
Depreciation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 169.28 , 169.28 , 169.28 
Interest, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 401.40 , 401.40 , 401.40 
Profit before tax, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 54.39 , (570.68), (570.68)
Tax, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.32 ,1%,1%
Net profit, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 54.07 , (567.32), (567.32)
EPS, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 28.02 , (294.05), (294.05)
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1.43 , 1.43 , 1.43 
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 40.20 , (421.79), (421.79)
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,13.48%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,,,0.00%,0.00%
,,,,,,OPM,,,,,13.48%,13.48%,13.48%
,,,,,,Price to Earning, 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 , 1.43 
